Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Forcible rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate,name,full_name,gid
Butler County Sheriff Office,OH,12,,314.0,1,6.0,11,296,990.0,308,679.0,3.0,,,,,,,,,,butler county,"butler county,OH",05000US39017
Carroll County Sheriff Department,OH,12,,45.0,0,1.0,0,44,225.0,71,141.0,13.0,,,,,,,,,,carroll county,"carroll county,OH",05000US39019
Champaign County Sheriff Office,OH,12,,14.0,0,0.0,1,13,396.0,139,243.0,14.0,,,,,,,,,,champaign county,"champaign county,OH",05000US39021
Clark County Sheriff Department,OH,12,,28.0,0,7.0,2,19,1118.0,280,803.0,35.0,,,,,,,,,,clark county,"clark county,OH",05000US39023
Clermont County Sheriff Office,OH,12,,64.0,0,11.0,3,50,1773.0,686,1041.0,46.0,,,,,,,,,,clermont county,"clermont county,OH",05000US39025
Cleveland,OH,12,393781.0,5449.0,84,363.0,3252,1750,24309.0,9740,10808.0,3761.0,1383.8,21.3,92.2,825.8,444.4,6173.2,2473.5,2744.7,955.1,cleveland,"cleveland,OH",16000US3916014
Clinton County Sheriff Office,OH,12,,9.0,0,3.0,0,6,75.0,24,46.0,5.0,,,,,,,,,,clinton county,"clinton county,OH",05000US39027
Columbiana County Sheriff Office,OH,12,,14.0,1,1.0,1,11,79.0,61,15.0,3.0,,,,,,,,,,columbiana county,"columbiana county,OH",05000US39029
Coshocton County Sheriff Department,OH,12,,19.0,0,0.0,5,14,895.0,294,590.0,11.0,,,,,,,,,,coshocton county,"coshocton county,OH",05000US39031
Crawford County Sheriff Department,OH,12,,8.0,0,1.0,0,7,351.0,172,168.0,11.0,,,,,,,,,,crawford county,"crawford county,OH",05000US39033
Cuyahoga Falls City Police Dept,OH,12,49470.0,65.0,0,17.0,13,35,1274.0,230,984.0,60.0,131.4,0.0,34.4,26.3,70.7,2575.3,464.9,1989.1,121.3,cuyahoga falls city,"cuyahoga falls city,OH",16000US3919778
Darke County Sheriff Department,OH,12,,13.0,0,2.0,3,8,461.0,151,293.0,17.0,,,,,,,,,,darke county,"darke county,OH",05000US39037
Defiance County Sheriff Office,OH,12,,6.0,0,5.0,0,1,173.0,40,130.0,3.0,,,,,,,,,,defiance county,"defiance county,OH",05000US39039
Delaware City Police Dept,OH,12,35539.0,53.0,0,17.0,23,13,1062.0,189,834.0,39.0,149.1,0.0,47.8,64.7,36.6,2988.3,531.8,2346.7,109.7,delaware city,"delaware city,OH",16000US3921434
Delaware County Sheriff Office,OH,12,,25.0,1,8.0,3,13,1184.0,375,796.0,13.0,,,,,,,,,,delaware county,"delaware county,OH",05000US39041
Erie County Sheriff Department,OH,8,,28.0,0,0.0,0,28,317.0,77,235.0,5.0,,,,,,,,,,erie county,"erie county,OH",05000US39043
Fairfield City Police Dept,OH,12,42727.0,146.0,4,7.0,28,107,1338.0,194,1102.0,42.0,341.7,9.4,16.4,65.5,250.4,3131.5,454.0,2579.2,98.3,fairfield city,"fairfield city,OH",16000US3925970
Fairfield County Sheriff Office,OH,12,,26.0,0,9.0,10,7,928.0,222,684.0,22.0,,,,,,,,,,fairfield county,"fairfield county,OH",05000US39045
Franklin County Sheriff Department,OH,12,,120.0,2,6.0,61,51,1419.0,410,925.0,84.0,,,,,,,,,,franklin county,"franklin county,OH",05000US39049
Fulton County Sheriff Department,OH,12,,24.0,1,3.0,0,20,376.0,113,249.0,14.0,,,,,,,,,,fulton county,"fulton county,OH",05000US39051
Gallia County Sheriff Office,OH,12,,17.0,2,3.0,7,5,610.0,248,345.0,17.0,,,,,,,,,,gallia county,"gallia county,OH",05000US39053
Geauga County Sheriff Department,OH,12,,18.0,0,5.0,4,9,325.0,105,209.0,11.0,,,,,,,,,,geauga county,"geauga county,OH",05000US39055
Greene County Sheriff Department,OH,12,,25.0,1,12.0,4,8,477.0,181,267.0,29.0,,,,,,,,,,greene county,"greene county,OH",05000US39057
Guernsey County Sheriff Department,OH,12,,6.0,2,1.0,3,0,189.0,73,107.0,9.0,,,,,,,,,,guernsey county,"guernsey county,OH",05000US39059
Hamilton City Police Dept,OH,12,62791.0,372.0,3,89.0,157,123,4713.0,1289,3218.0,206.0,592.4,4.8,141.7,250.0,195.9,7505.9,2052.8,5124.9,328.1,hamilton city,"hamilton city,OH",16000US3933012
Hamilton County Sheriff Department,OH,12,,275.0,4,54.0,136,81,5771.0,1168,4342.0,261.0,,,,,,,,,,hamilton county,"hamilton county,OH",05000US39061
Hancock County Sheriff Office,OH,12,,4.0,0,1.0,0,3,248.0,90,151.0,7.0,,,,,,,,,,hancock county,"hancock county,OH",05000US39063
Hardin County Sheriff Department,OH,12,,4.0,0,0.0,0,4,281.0,132,145.0,4.0,,,,,,,,,,hardin county,"hardin county,OH",05000US39065
Henry County Sheriff Office,OH,11,,11.0,1,5.0,0,5,282.0,93,178.0,11.0,,,,,,,,,,henry county,"henry county,OH",05000US39069
Highland County Sheriff Department,OH,12,,44.0,0,3.0,0,41,614.0,227,354.0,33.0,,,,,,,,,,highland county,"highland county,OH",05000US39071
Hocking County Sheriff Department,OH,12,,9.0,3,2.0,0,4,378.0,142,230.0,6.0,,,,,,,,,,hocking county,"hocking county,OH",05000US39073
Holmes County Sheriff Department,OH,12,,4.0,0,2.0,2,0,230.0,61,156.0,13.0,,,,,,,,,,holmes county,"holmes county,OH",05000US39075
Hudson City Police Dept,OH,12,22181.0,2.0,0,0.0,2,0,142.0,23,119.0,0.0,9.0,0.0,0.0,9.0,0.0,640.2,103.7,536.5,0.0,hudson city,"hudson city,OH",16000US3936651
Jefferson County Sheriff Department,OH,12,,9.0,0,1.0,4,4,92.0,25,64.0,3.0,,,,,,,,,,jefferson county,"jefferson county,OH",05000US39081
Knox County Sheriff Department,OH,10,,12.0,1,2.0,2,7,229.0,74,155.0,0.0,,,,,,,,,,knox county,"knox county,OH",05000US39083
Lake County Sheriff Office,OH,12,,208.0,0,21.0,5,182,350.0,111,228.0,11.0,,,,,,,,,,lake county,"lake county,OH",05000US39085
Lawrence County Sheriff Department,OH,12,,86.0,1,8.0,11,66,1080.0,309,708.0,63.0,,,,,,,,,,lawrence county,"lawrence county,OH",05000US39087
Licking County Sheriff Office,OH,12,,407.0,0,51.0,13,343,1242.0,389,817.0,36.0,,,,,,,,,,licking county,"licking county,OH",05000US39089
Logan County Sheriff Office,OH,12,,10.0,0,4.0,0,6,555.0,238,301.0,16.0,,,,,,,,,,logan county,"logan county,OH",05000US39091
Lucas County Sheriff Department,OH,12,,82.0,0,4.0,22,56,1331.0,394,855.0,82.0,,,,,,,,,,lucas county,"lucas county,OH",05000US39095
Madison County Sheriff Office,OH,12,,13.0,0,3.0,2,8,472.0,180,271.0,21.0,,,,,,,,,,madison county,"madison county,OH",05000US39097
Mahoning County Sheriff Office,OH,12,,7.0,0,2.0,2,3,165.0,72,90.0,3.0,,,,,,,,,,mahoning county,"mahoning county,OH",05000US39099
Marion City Police Dept,OH,12,36687.0,97.0,2,14.0,48,33,1893.0,851,997.0,45.0,264.4,5.5,38.2,130.8,90.0,5159.9,2319.6,2717.6,122.7,marion city,"marion city,OH",16000US3947754
Marion County Sheriff Office,OH,12,,34.0,0,6.0,20,8,1427.0,409,1009.0,9.0,,,,,,,,,,marion county,"marion county,OH",05000US39101
Meigs County Sheriff Department,OH,12,,16.0,1,5.0,5,5,331.0,156,159.0,16.0,,,,,,,,,,meigs county,"meigs county,OH",05000US39105
Mercer County Sheriff Department,OH,12,,10.0,1,3.0,1,5,213.0,55,154.0,4.0,,,,,,,,,,mercer county,"mercer county,OH",05000US39107
Miami County Sheriff Department,OH,12,,16.0,0,5.0,5,6,542.0,156,357.0,29.0,,,,,,,,,,miami county,"miami county,OH",05000US39109
Morrow County Sheriff Department,OH,12,,16.0,0,3.0,3,10,481.0,231,237.0,13.0,,,,,,,,,,morrow county,"morrow county,OH",05000US39117
Muskingum County Sheriff Office,OH,12,,53.0,1,22.0,12,18,1304.0,350,887.0,67.0,,,,,,,,,,muskingum county,"muskingum county,OH",05000US39119
Newark City Police Dept,OH,12,47787.0,69.0,0,20.0,32,17,2292.0,501,1705.0,86.0,144.4,0.0,41.9,67.0,35.6,4796.3,1048.4,3567.9,180.0,newark city,"newark city,OH",16000US3954040
Oregon City Police Dept,OH,12,20205.0,34.0,1,1.0,11,21,959.0,173,759.0,27.0,168.3,4.9,4.9,54.4,103.9,4746.3,856.2,3756.5,133.6,oregon city,"oregon city,OH",16000US3958730
Ottawa County Sheriff Department,OH,12,,3.0,0,1.0,2,0,327.0,66,252.0,9.0,,,,,,,,,,ottawa county,"ottawa county,OH",05000US39123
Parma City Police Dept,OH,12,80963.0,56.0,0,4.0,14,38,451.0,47,398.0,6.0,69.2,0.0,4.9,17.3,46.9,557.0,58.1,491.6,7.4,parma city,"parma city,OH",16000US3961000
Perrysburg City Police Dept,OH,12,20771.0,16.0,0,3.0,2,11,419.0,53,349.0,17.0,77.0,0.0,14.4,9.6,53.0,2017.2,255.2,1680.2,81.8,perrysburg city,"perrysburg city,OH",16000US3962148
Pickaway County Sheriff Office,OH,12,,27.0,0,4.0,5,18,1094.0,493,580.0,21.0,,,,,,,,,,pickaway county,"pickaway county,OH",05000US39129
Pike County Sheriff Department,OH,12,,15.0,3,3.0,3,6,312.0,78,216.0,18.0,,,,,,,,,,pike county,"pike county,OH",05000US39131
Seneca County Sheriff Department,OH,12,,12.0,0,0.0,0,12,116.0,32,82.0,2.0,,,,,,,,,,seneca county,"seneca county,OH",05000US39147
Warren County Sheriff Department,OH,12,,66.0,0,8.0,7,51,730.0,102,616.0,12.0,,,,,,,,,,warren county,"warren county,OH",05000US39165
Washington County Sheriff Department,OH,12,,26.0,0,6.0,2,18,388.0,101,275.0,12.0,,,,,,,,,,washington county,"washington county,OH",05000US39167
Wayne County Sheriff Department,OH,12,,42.0,1,5.0,8,28,452.0,132,310.0,10.0,,,,,,,,,,wayne county,"wayne county,OH",05000US39169
Adair County Sheriff Department,OK,12,,54.0,1,5.0,0,48,211.0,103,96.0,12.0,,,,,,,,,,adair county,"adair county,OK",05000US40001
Beckham County Sheriff Office,OK,12,,4.0,0,0.0,0,4,73.0,27,45.0,1.0,,,,,,,,,,beckham county,"beckham county,OK",05000US40009
Bryan County Sheriff Department,OK,12,,64.0,1,5.0,0,58,367.0,147,184.0,36.0,,,,,,,,,,bryan county,"bryan county,OK",05000US40013
Canadian County Sheriff Department,OK,12,,16.0,0,1.0,1,14,175.0,54,95.0,26.0,,,,,,,,,,canadian county,"canadian county,OK",05000US40017
Carter County Sheriff Department,OK,12,,67.0,2,8.0,2,55,268.0,95,141.0,32.0,,,,,,,,,,carter county,"carter county,OK",05000US40019
Comanche County Sheriff Office,OK,12,,38.0,0,4.0,1,33,410.0,139,242.0,29.0,,,,,,,,,,comanche county,"comanche county,OK",05000US40031
Creek County Sheriff Department,OK,12,,56.0,3,5.0,5,43,375.0,133,203.0,39.0,,,,,,,,,,creek county,"creek county,OK",05000US40037
Custer County Sheriff Office,OK,12,,5.0,0,1.0,0,4,52.0,18,29.0,5.0,,,,,,,,,,custer county,"custer county,OK",05000US40039
Delaware County Sheriff Office,OK,12,,52.0,1,5.0,0,46,380.0,137,197.0,46.0,,,,,,,,,,delaware county,"delaware county,OK",05000US40041
Garfield County Sheriff Department,OK,12,,4.0,0,2.0,0,2,76.0,23,44.0,9.0,,,,,,,,,,garfield county,"garfield county,OK",05000US40047
Garvin County Sheriff Department,OK,12,,23.0,0,3.0,5,15,255.0,97,142.0,16.0,,,,,,,,,,garvin county,"garvin county,OK",05000US40049
Grady County Sheriff Department,OK,12,,53.0,1,4.0,1,47,239.0,108,118.0,13.0,,,,,,,,,,grady county,"grady county,OK",05000US40051
Kay County Sheriff Department,OK,12,,22.0,0,0.0,7,15,78.0,40,37.0,1.0,,,,,,,,,,kay county,"kay county,OK",05000US40071
Le Flore County Sheriff Department,OK,12,,49.0,1,1.0,0,47,367.0,163,179.0,25.0,,,,,,,,,,le flore county,"le flore county,OK",05000US40079
Logan County Sheriff Department,OK,12,,23.0,0,1.0,1,21,403.0,157,218.0,28.0,,,,,,,,,,logan county,"logan county,OK",05000US40083
Mayes County Sheriff Office,OK,10,,20.0,2,0.0,1,17,199.0,70,112.0,17.0,,,,,,,,,,mayes county,"mayes county,OK",05000US40097
Mcclain County Sheriff Department,OK,12,,21.0,0,2.0,6,13,349.0,126,195.0,28.0,,,,,,,,,,mcclain county,"mcclain county,OK",05000US40087
Mcintosh County Sheriff Office,OK,12,,20.0,0,4.0,0,16,225.0,65,139.0,21.0,,,,,,,,,,mcintosh county,"mcintosh county,OK",05000US40091
Oklahoma County Sheriff Office,OK,12,,32.0,0,1.0,1,30,318.0,68,215.0,35.0,,,,,,,,,,oklahoma county,"oklahoma county,OK",05000US40109
Osage County Sheriff Office,OK,12,,31.0,0,5.0,3,23,400.0,141,221.0,38.0,,,,,,,,,,osage county,"osage county,OK",05000US40113
Ottawa County Sheriff Department,OK,12,,14.0,0,2.0,1,11,126.0,49,60.0,17.0,,,,,,,,,,ottawa county,"ottawa county,OK",05000US40115
Payne County Sheriff Office,OK,12,,15.0,0,2.0,2,11,253.0,88,147.0,18.0,,,,,,,,,,payne county,"payne county,OK",05000US40119
Pittsburg County Sheriff Department,OK,12,,31.0,0,13.0,2,16,349.0,121,211.0,17.0,,,,,,,,,,pittsburg county,"pittsburg county,OK",05000US40121
Pontotoc County Sheriff Office,OK,12,,27.0,1,6.0,2,18,196.0,80,92.0,24.0,,,,,,,,,,pontotoc county,"pontotoc county,OK",05000US40123
Pottawatomie County Sheriff Department,OK,12,,30.0,2,2.0,0,26,619.0,233,307.0,79.0,,,,,,,,,,pottawatomie county,"pottawatomie county,OK",05000US40125
Rogers County Sheriff Office,OK,12,,60.0,0,18.0,1,41,401.0,134,211.0,56.0,,,,,,,,,,rogers county,"rogers county,OK",05000US40131
Sequoyah County Sheriff Department,OK,12,,42.0,0,4.0,0,38,335.0,128,192.0,15.0,,,,,,,,,,sequoyah county,"sequoyah county,OK",05000US40135
Stephens County Sheriff Office,OK,12,,14.0,1,4.0,2,7,229.0,82,132.0,15.0,,,,,,,,,,stephens county,"stephens county,OK",05000US40137
Texas County Sheriff Department,OK,12,,5.0,0,2.0,0,3,37.0,6,29.0,2.0,,,,,,,,,,texas county,"texas county,OK",05000US40139
Allentown City Police Dept,PA,12,119334.0,653.0,15,54.0,374,210,4603.0,1248,2987.0,368.0,547.2,12.6,45.3,313.4,176.0,3857.2,1045.8,2503.1,308.4,allentown city,"allentown city,PA",16000US4202000
Altoona City Police Dept,PA,12,46404.0,163.0,2,31.0,32,98,903.0,226,641.0,36.0,351.3,4.3,66.8,69.0,211.2,1946.0,487.0,1381.3,77.6,altoona city,"altoona city,PA",16000US4202184
Chester City Police Dept,PA,12,34239.0,720.0,22,17.0,217,464,1203.0,465,636.0,102.0,2102.9,64.3,49.7,633.8,1355.2,3513.5,1358.1,1857.5,297.9,chester city,"chester city,PA",16000US4213208
Erie Police Dept,PA,12,101972.0,458.0,8,64.0,172,214,3510.0,1095,2311.0,104.0,449.1,7.8,62.8,168.7,209.9,3442.1,1073.8,2266.3,102.0,erie,"erie,PA",05000US42049
Harrisburg City Police Dept,PA,12,49753.0,727.0,11,56.0,388,272,2426.0,613,1655.0,158.0,1461.2,22.1,112.6,779.9,546.7,4876.1,1232.1,3326.4,317.6,harrisburg city,"harrisburg city,PA",16000US4232800
Hazleton City Police Dept,PA,12,25358.0,114.0,3,19.0,46,46,600.0,210,344.0,46.0,449.6,11.8,74.9,181.4,181.4,2366.1,828.1,1356.6,181.4,hazleton city,"hazleton city,PA",16000US4233408
Johnstown City Police Dept,PA,12,22360.0,131.0,1,6.0,31,93,822.0,285,499.0,38.0,585.9,4.5,26.8,138.6,415.9,3676.2,1274.6,2231.7,169.9,johnstown city,"johnstown city,PA",16000US4238288
Lebanon City Police Dept,PA,12,25662.0,99.0,2,6.0,48,43,696.0,123,544.0,29.0,385.8,7.8,23.4,187.0,167.6,2712.2,479.3,2119.9,113.0,lebanon city,"lebanon city,PA",16000US4242168
Mckeesport City Police Dept,PA,12,21603.0,410.0,10,13.0,69,318,721.0,279,409.0,33.0,1897.9,46.3,60.2,319.4,1472.0,3337.5,1291.5,1893.3,152.8,mckeesport city,"mckeesport city,PA",16000US4246256
Mifflin,PA,11,636.0,0.0,0,0.0,0,0,1.0,1,0.0,0.0,,,,,,,,,,mifflin,"mifflin,PA",05000US42087
Monroeville Municipality Police Dept,PA,12,28491.0,70.0,0,0.0,11,59,420.0,98,298.0,24.0,245.7,0.0,0.0,38.6,207.1,1474.1,344.0,1045.9,84.2,monroeville municipality,"monroeville municipality,PA",16000US4250528
Union County Sheriff Office,PA,12,,17.0,0,8.0,0,9,234.0,65,151.0,18.0,,,,,,,,,,union county,"union county,PA",05000US42119
Washington County Sheriff Office,PA,12,,317.0,6,75.0,63,173,2669.0,556,1946.0,167.0,,,,,,,,,,washington county,"washington county,PA",05000US42125
Berkeley County Sheriff Office,SC,12,,487.0,10,37.0,82,358,3558.0,1010,2173.0,375.0,,,,,,,,,,berkeley county,"berkeley county,SC",05000US45015
Charleston City Police Dept,SC,12,123856.0,296.0,12,19.0,104,161,3373.0,374,2764.0,235.0,239.0,9.7,15.3,84.0,130.0,2723.3,302.0,2231.6,189.7,charleston city,"charleston city,SC",16000US4513330
Charleston County Sheriff Department,SC,12,,441.0,4,19.0,66,352,1803.0,546,1100.0,157.0,,,,,,,,,,charleston county,"charleston county,SC",05000US45019
Cherokee County Sheriff Department,SC,12,,79.0,1,0.0,12,66,440.0,190,187.0,63.0,,,,,,,,,,cherokee county,"cherokee county,SC",05000US45021
Clarendon County Sheriff Department,SC,12,,113.0,1,6.0,15,91,896.0,284,551.0,61.0,,,,,,,,,,clarendon county,"clarendon county,SC",05000US45027
Colleton County Sheriff Department,SC,12,,204.0,2,11.0,8,183,1180.0,326,699.0,155.0,,,,,,,,,,colleton county,"colleton county,SC",05000US45029
Dillon County Sheriff Office,SC,12,,192.0,4,13.0,20,155,1054.0,370,608.0,76.0,,,,,,,,,,dillon county,"dillon county,SC",05000US45033
Dorchester County Sheriff Department,SC,12,,345.0,3,25.0,53,264,2074.0,582,1292.0,200.0,,,,,,,,,,dorchester county,"dorchester county,SC",05000US45035
Fairfield County Sheriff Department,SC,12,,125.0,3,5.0,9,108,665.0,177,422.0,66.0,,,,,,,,,,fairfield county,"fairfield county,SC",05000US45039
Horry County Police Department,SC,10,,757.0,7,95.0,103,552,4730.0,1273,3076.0,381.0,,,,,,,,,,horry county,"horry county,SC",05000US45051
Jasper County Sheriff Department,SC,12,,34.0,5,10.0,13,6,461.0,135,290.0,36.0,,,,,,,,,,jasper county,"jasper county,SC",05000US45053
Kershaw County Sheriff Department,SC,12,,256.0,2,27.0,14,213,1557.0,485,962.0,110.0,,,,,,,,,,kershaw county,"kershaw county,SC",05000US45055
Marlboro County Sheriff Office,SC,12,,172.0,2,14.0,11,145,863.0,269,551.0,43.0,,,,,,,,,,marlboro county,"marlboro county,SC",05000US45069
Aberdeen City Police Dept,SD,12,26593.0,69.0,0,23.0,1,45,507.0,88,392.0,27.0,259.5,0.0,86.5,3.8,169.2,1906.5,330.9,1474.1,101.5,aberdeen city,"aberdeen city,SD",16000US4600100
Codington County Sheriff Office,SD,12,,7.0,0,1.0,0,6,65.0,20,40.0,5.0,,,,,,,,,,codington county,"codington county,SD",05000US46029
Meade County Sheriff Department,SD,12,,9.0,0,1.0,0,8,21.0,8,12.0,1.0,,,,,,,,,,meade county,"meade county,SD",05000US46093
Minnehaha County Sheriff Department,SD,12,,41.0,0,14.0,0,27,317.0,82,224.0,11.0,,,,,,,,,,minnehaha county,"minnehaha county,SD",05000US46099
Pennington County Sheriff Office,SD,12,,63.0,0,20.0,0,43,408.0,116,271.0,21.0,,,,,,,,,,pennington county,"pennington county,SD",05000US46103
Box Elder County Sheriff Office,UT,12,,7.0,0,1.0,0,6,192.0,37,146.0,9.0,,,,,,,,,,box elder county,"box elder county,UT",05000US49003
Cache County Sheriff Office,UT,12,,13.0,0,9.0,0,4,409.0,74,316.0,19.0,,,,,,,,,,cache county,"cache county,UT",05000US49005
Carbon County Sheriff Office,UT,12,,7.0,0,2.0,0,5,181.0,43,129.0,9.0,,,,,,,,,,carbon county,"carbon county,UT",05000US49007
Davis County Sheriff Office,UT,12,,16.0,0,5.0,0,11,208.0,48,154.0,6.0,,,,,,,,,,davis county,"davis county,UT",05000US49011
Washington County Sheriff Office,UT,12,,27.0,0,1.0,2,24,197.0,78,107.0,12.0,,,,,,,,,,washington county,"washington county,UT",05000US49053
Asotin County Sheriff Office,WA,12,,27.0,0,4.0,1,22,208.0,52,141.0,15.0,,,,,,,,,,asotin county,"asotin county,WA",05000US53003
Benton County Sheriff Office,WA,12,,67.0,0,8.0,5,54,527.0,159,332.0,36.0,,,,,,,,,,benton county,"benton county,WA",05000US53005
Chelan County Sheriff Office,WA,12,,37.0,1,6.0,6,24,620.0,194,397.0,29.0,,,,,,,,,,chelan county,"chelan county,WA",05000US53007
Clallam County Sheriff Office,WA,12,,72.0,4,9.0,11,48,880.0,302,543.0,35.0,,,,,,,,,,clallam county,"clallam county,WA",05000US53009
Clark County Sheriff Department,WA,12,,283.0,2,46.0,51,184,3987.0,1155,2297.0,535.0,,,,,,,,,,clark county,"clark county,WA",05000US53011
Cowlitz County Sheriff Office,WA,12,,84.0,3,35.0,1,45,537.0,186,309.0,42.0,,,,,,,,,,cowlitz county,"cowlitz county,WA",05000US53015
Douglas County Sheriff Department,WA,12,,20.0,0,4.0,3,13,464.0,184,257.0,23.0,,,,,,,,,,douglas county,"douglas county,WA",05000US53017
Grant County Sheriff Office,WA,12,,109.0,3,19.0,13,74,1266.0,357,787.0,122.0,,,,,,,,,,grant county,"grant county,WA",05000US53025
Grays Harbor County Sheriff Department,WA,11,,33.0,1,2.0,5,25,289.0,124,148.0,17.0,,,,,,,,,,grays harbor county,"grays harbor county,WA",05000US53027
Island County Sheriff Office,WA,12,,72.0,1,15.0,2,54,778.0,326,421.0,31.0,,,,,,,,,,island county,"island county,WA",05000US53029
Jefferson County Sheriff Office,WA,12,,43.0,0,8.0,1,34,429.0,143,257.0,29.0,,,,,,,,,,jefferson county,"jefferson county,WA",05000US53031
King County Sheriff Office,WA,12,,405.0,7,64.0,127,207,5555.0,2436,2525.0,594.0,,,,,,,,,,king county,"king county,WA",05000US53033
Kitsap County Sheriff Office,WA,12,,338.0,2,54.0,47,235,4317.0,1287,2711.0,319.0,,,,,,,,,,kitsap county,"kitsap county,WA",05000US53035
Klickitat County Sheriff Office,WA,11,,7.0,0,0.0,0,7,64.0,39,20.0,5.0,,,,,,,,,,klickitat county,"klickitat county,WA",05000US53039
Lewis County Sheriff Office,WA,12,,47.0,1,5.0,1,40,696.0,296,354.0,46.0,,,,,,,,,,lewis county,"lewis county,WA",05000US53041
Mason County Sheriff Department,WA,12,,102.0,4,10.0,11,77,1687.0,718,782.0,187.0,,,,,,,,,,mason county,"mason county,WA",05000US53045
Mountlake Terrace City Police Dept,WA,12,20363.0,43.0,0,8.0,11,24,558.0,136,371.0,51.0,211.2,0.0,39.3,54.0,117.9,2740.3,667.9,1821.9,250.5,mountlake terrace city,"mountlake terrace city,WA",16000US5347490
Okanogan County Sheriff Office,WA,12,,43.0,0,6.0,3,34,418.0,173,207.0,38.0,,,,,,,,,,okanogan county,"okanogan county,WA",05000US53047
Pacific County Sheriff Department,WA,11,,13.0,0,2.0,1,10,277.0,125,143.0,9.0,,,,,,,,,,pacific county,"pacific county,WA",05000US53049
Pierce County Sheriff Department,WA,12,,1000.0,17,102.0,198,683,9990.0,3663,5233.0,1094.0,,,,,,,,,,pierce county,"pierce county,WA",05000US53053
Pullman City Police Dept,WA,12,30206.0,29.0,0,5.0,3,21,230.0,60,166.0,4.0,96.0,0.0,16.6,9.9,69.5,761.4,198.6,549.6,13.2,pullman city,"pullman city,WA",16000US5356625
Skagit County Sheriff Department,WA,12,,95.0,1,12.0,8,74,1382.0,538,774.0,70.0,,,,,,,,,,skagit county,"skagit county,WA",05000US53057
Spokane County Sheriff Department,WA,12,,147.0,4,19.0,36,88,3985.0,1248,2407.0,330.0,,,,,,,,,,spokane county,"spokane county,WA",05000US53063
Spokane Police Dept,WA,12,212163.0,1369.0,13,81.0,537,738,18522.0,3827,12600.0,2095.0,645.3,6.1,38.2,253.1,347.8,8730.1,1803.8,5938.8,987.4,spokane,"spokane,WA",16000US5367167
Stevens County Sheriff Department,WA,12,,26.0,0,4.0,0,22,610.0,268,292.0,50.0,,,,,,,,,,stevens county,"stevens county,WA",05000US53065
Thurston County Sheriff Department,WA,12,,258.0,1,30.0,24,203,2832.0,1174,1457.0,201.0,,,,,,,,,,thurston county,"thurston county,WA",05000US53067
Walla Walla County Sheriff Office,WA,12,,17.0,0,1.0,3,13,443.0,144,281.0,18.0,,,,,,,,,,walla walla county,"walla walla county,WA",05000US53071
Whatcom County Sheriff Department,WA,12,,158.0,1,35.0,7,115,1130.0,412,648.0,70.0,,,,,,,,,,whatcom county,"whatcom county,WA",05000US53073
Whitman County Sheriff Department,WA,12,,6.0,1,2.0,0,3,102.0,30,64.0,8.0,,,,,,,,,,whitman county,"whitman county,WA",05000US53075
Albany County Sheriff Office,WY,12,,9.0,0,1.0,0,8,53.0,11,37.0,5.0,,,,,,,,,,albany county,"albany county,WY",05000US56001
Campbell County Sheriff Office,WY,12,,24.0,0,1.0,3,20,229.0,64,153.0,12.0,,,,,,,,,,campbell county,"campbell county,WY",05000US56005
Fremont County Sheriff Office,WY,12,,16.0,0,3.0,0,13,210.0,67,134.0,9.0,,,,,,,,,,fremont county,"fremont county,WY",05000US56013
Laramie City Police Dept,WY,12,31767.0,34.0,1,14.0,2,17,710.0,102,585.0,23.0,107.0,3.1,44.1,6.3,53.5,2235.0,321.1,1841.5,72.4,laramie city,"laramie city,WY",16000US5645050
Laramie County Sheriff Department,WY,12,,77.0,2,11.0,6,58,615.0,164,404.0,47.0,,,,,,,,,,laramie county,"laramie county,WY",05000US56021
Natrona County Sheriff Office,WY,12,,39.0,0,5.0,0,34,246.0,78,145.0,23.0,,,,,,,,,,natrona county,"natrona county,WY",05000US56025
Park County Sheriff Department,WY,12,,31.0,0,2.0,0,29,84.0,27,51.0,6.0,,,,,,,,,,park county,"park county,WY",05000US56029
Rock Springs City Police Dept,WY,12,23566.0,89.0,2,15.0,1,71,623.0,61,546.0,16.0,377.7,8.5,63.7,4.2,301.3,2643.6,258.8,2316.9,67.9,rock springs city,"rock springs city,WY",16000US5667235
