Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Forcible rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate,name,full_name,gid
Tippah County Sheriff Department,MS,12,,9.0,0,0.0,0,9,6.0,1,5.0,0.0,,,,,,,,,,tippah county,"tippah county,MS",05000US28139
Wayne County Sheriff Office,MS,12,,9.0,0,1.0,0,8,85.0,39,40.0,6.0,,,,,,,,,,wayne county,"wayne county,MS",05000US28153
Alamance County Sheriff Department,NC,12,,116.0,1,7.0,8,100,1033.0,429,526.0,78.0,,,,,,,,,,alamance county,"alamance county,NC",05000US37001
Alexander County Sheriff Department,NC,12,,36.0,1,6.0,6,23,803.0,335,425.0,43.0,,,,,,,,,,alexander county,"alexander county,NC",05000US37003
Anson County Sheriff Department,NC,12,,50.0,0,12.0,10,28,716.0,331,367.0,18.0,,,,,,,,,,anson county,"anson county,NC",05000US37007
Ashe County Sheriff Department,NC,12,,26.0,0,4.0,1,21,431.0,196,210.0,25.0,,,,,,,,,,ashe county,"ashe county,NC",05000US37009
Bertie County Sheriff Department,NC,12,,22.0,0,1.0,6,15,286.0,84,192.0,10.0,,,,,,,,,,bertie county,"bertie county,NC",05000US37015
Bladen County Sheriff Department,NC,12,,100.0,2,1.0,14,83,1102.0,362,707.0,33.0,,,,,,,,,,bladen county,"bladen county,NC",05000US37017
Brunswick County Sheriff Department,NC,12,,108.0,1,20.0,17,70,1825.0,684,1052.0,89.0,,,,,,,,,,brunswick county,"brunswick county,NC",05000US37019
Buncombe County Sheriff Department,NC,12,,144.0,4,18.0,34,88,1954.0,812,960.0,182.0,,,,,,,,,,buncombe county,"buncombe county,NC",05000US37021
Cabarrus County Sheriff Office,NC,12,,39.0,3,7.0,9,20,910.0,343,536.0,31.0,,,,,,,,,,cabarrus county,"cabarrus county,NC",05000US37025
Caldwell County Sheriff Department,NC,12,,61.0,2,7.0,10,42,1553.0,541,929.0,83.0,,,,,,,,,,caldwell county,"caldwell county,NC",05000US37027
Carteret County Sheriff Office,NC,12,,87.0,3,20.0,6,58,774.0,246,480.0,48.0,,,,,,,,,,carteret county,"carteret county,NC",05000US37031
Caswell County Sheriff Department,NC,12,,62.0,2,8.0,4,48,519.0,214,288.0,17.0,,,,,,,,,,caswell county,"caswell county,NC",05000US37033
Chatham County Sheriff Department,NC,12,,68.0,1,8.0,7,52,781.0,367,383.0,31.0,,,,,,,,,,chatham county,"chatham county,NC",05000US37037
Cherokee County Sheriff Department,NC,12,,32.0,3,3.0,1,25,599.0,246,327.0,26.0,,,,,,,,,,cherokee county,"cherokee county,NC",05000US37039
Craven County Sheriff Department,NC,12,,116.0,0,8.0,19,89,1540.0,832,630.0,78.0,,,,,,,,,,craven county,"craven county,NC",05000US37049
