,cost_exists,age_exists,cup_exists,county_fips,place_fips,state_fips,place,url,state,bls_code,b01001001,b01001a001,b01001b001,b15002003,b15002004,b15002005,b15002006,b15002007,b15002008,b15002009,b15002010,b15002011,b15002012,b15002013,b15002014,b15002015,b15002016,b15002017,b15002018,b19013001,gid,place,region,counts,completeness,completeness_std,Cup_mean mean,Cup_mean std,Cost_hour_mean mean,Cost_hour_mean std,Age_mean mean,Age_mean std
chambana,0.09789156626506024,0.018072289156626505,0.09186746987951808,,,17.0,Chambana,chambana,illinois,,12858490.0,9330549.0,1864183.0,46568.0,26924.0,76571.0,85206.0,60843.0,78932.0,87699.0,83850.0,1136660.0,257389.0,603162.0,272285.0,785937.0,319425.0,109952.0,57905.0,55231.0,04000US17,chambana,chambana,664.0,0.20783132530120482,0.44504863921217186,-0.4299698795180723,1.8382945073964527,363.9051282049231,732.7099101777704,-0.5572289156626506,3.4224494640012235
chambersburg,,,,,17664.0,42.0,Cumberland Valley,chambersburg,pennsylvania,LAUCT421766400000003,,,,,,,,,,,,,,,,,,,,,,,chambersburg,,,,,,,,,
charleston,0.19714115544967242,0.08278737343656939,0.15902322811197142,19.0,13330.0,45.0,Charleston,charleston,south carolina,LAUCT451333000000003,123226.0,87467.0,31454.0,185.0,159.0,38.0,349.0,246.0,641.0,689.0,353.0,6693.0,1905.0,5185.0,2687.0,11660.0,3373.0,2125.0,1341.0,50602.0,16000US4513330,charleston,charleston,1679.0,0.4389517569982132,0.6419449342620767,-0.08963668850506254,2.1725011920154826,217.2613293051398,333.8816685912205,1.3452451856263252,7.89131180502597
charlestonwv,0.08174386920980926,0.0326975476839237,0.08991825613079019,,14600.0,54.0,Charleston,charlestonwv,west virginia,LAUCT541460000000003,51153.0,42067.0,3857.0,154.0,42.0,126.0,330.0,274.0,388.0,375.0,146.0,4842.0,723.0,1947.0,718.0,3602.0,1332.0,1881.0,358.0,47864.0,16000US5414600,charlestonwv,charlestonwv,367.0,0.20435967302452315,0.4723879128716305,-0.47547683923705725,1.7028417999040206,236.90000000003332,97.54292305996991,-0.12534059945504086,4.840131171851051
charlotte,0.2222222222222222,0.030746395250212045,0.14016115351993214,,12000.0,37.0,Charlotte,charlotte,north carolina,LAUCT371200000000003,756725.0,401557.0,263057.0,2583.0,1959.0,5891.0,2804.0,4272.0,4723.0,4646.0,3069.0,49716.0,10258.0,32994.0,12690.0,63947.0,20804.0,6984.0,2496.0,51209.0,16000US3712000,charlotte,charlotte,4716.0,0.3931297709923664,0.6052329953844612,-0.1924300254452926,2.0497585276353063,195.30067096813468,254.3072555124323,-0.16751484308736217,4.841970609103186
charlottesville,0.14805825242718446,0.014563106796116505,0.14320388349514562,540.0,14968.0,51.0,Charlottesville,charlottesville,virginia,LAUCT511496800000003,43644.0,30582.0,8921.0,148.0,91.0,83.0,325.0,219.0,222.0,232.0,161.0,2684.0,463.0,1195.0,467.0,2596.0,1629.0,748.0,834.0,44183.0,16000US5114968,charlottesville,charlottesville,412.0,0.3058252427184466,0.5612508176693294,-0.14805825242718446,2.1395752168410764,231.72495446259018,146.49339457054967,-0.4368932038834951,5.003006206564416
chattanooga,0.23251748251748253,0.03146853146853147,0.11888111888111888,,14000.0,47.0,Chattanooga,chattanooga,tennessee,LAUCT471400000000003,169718.0,100470.0,58306.0,1345.0,428.0,729.0,839.0,1114.0,1573.0,1873.0,1027.0,15620.0,3533.0,9094.0,2849.0,8964.0,2905.0,1208.0,759.0,37140.0,16000US4714000,chattanooga,chattanooga,1144.0,0.38286713286713286,0.6006006003939075,-0.3369755244755245,1.8461958559448768,198.56323845327825,74.31098626084511,-0.13592657342657344,4.861341909386558
chautauqua,,,,13.0,14058.0,36.0,Chautauqua,chautauqua,new york,LAUCT361405800000003,,,,,,,,,,,,,,,,,,,,,,,chautauqua,,,,,,,,,
chesapeake,0.125,0.010185185185185186,0.08148148148148149,550.0,16000.0,51.0,Chesapeake,chesapeake,virginia,LAUCT511600000000003,225844.0,141306.0,67687.0,426.0,114.0,370.0,1313.0,1281.0,1253.0,1731.0,902.0,20137.0,5271.0,12445.0,5108.0,12534.0,5534.0,1061.0,439.0,68750.0,16000US5116000,chesapeake,chesapeake,1080.0,0.21666666666666667,0.45491854264786385,-0.525,1.6267359017865377,177.4756613756993,80.99888790493672,-0.7314814814814815,2.7442972515129225
chicago,0.16111458426364206,0.03679557024202911,0.17549343574171652,,14000.0,17.0,Chicago,chicago,illinois,LAUCT171400000000003,2705981.0,1289818.0,879617.0,15402.0,11806.0,31224.0,25489.0,19127.0,20591.0,24020.0,21926.0,205545.0,33424.0,120385.0,41575.0,169529.0,68375.0,29520.0,13023.0,45483.0,16000US1714000,chicago,chicago,11197.0,0.3734035902473877,0.6054267794820538,0.0214715251108931,2.2757222259912138,243.9776862703637,329.26814158806457,-0.10937453484564615,4.649561270689269
chico,0.0686106346483705,0.022298456260720412,0.051457975986277875,,13014.0,6.0,Chico,chico,california,LAUCT061301400000003,86920.0,72386.0,,234.0,176.0,197.0,306.0,162.0,342.0,381.0,679.0,3838.0,1900.0,4616.0,2102.0,5627.0,1432.0,350.0,691.0,41216.0,16000US0613014,chico,chico,583.0,0.1423670668953688,0.3641672075637094,-0.6963979416809606,1.3259648861003122,194.60416666667498,87.78331980367597,-0.4236706689536878,3.8894414622048603
chillicothe,0.05583756345177665,0.005076142131979695,0.04568527918781726,,14184.0,39.0,Chillicothe,chillicothe,ohio,LAUCT391418400000003,21596.0,19335.0,,106.0,85.0,44.0,50.0,70.0,78.0,461.0,84.0,2701.0,387.0,948.0,679.0,1002.0,282.0,133.0,63.0,37805.0,16000US3914184,chillicothe,chillicothe,197.0,0.1065989847715736,0.340778081177779,-0.7461928934010152,1.1765342668063887,123.93939393936363,27.731577741636784,-0.8629441624365483,1.9236703496735603
cincinnati,0.17009132420091325,0.04223744292237443,0.09703196347031963,,15000.0,39.0,Cincinnati,cincinnati,ohio,LAUCT391500000000003,296443.0,148643.0,130936.0,938.0,466.0,860.0,1602.0,1889.0,3012.0,3525.0,1819.0,23991.0,4333.0,12030.0,4362.0,15630.0,7380.0,3208.0,1853.0,32591.0,16000US3915000,cincinnati,cincinnati,1752.0,0.3093607305936073,0.5707142238548639,-0.42256468797564495,1.8029375717305074,196.83193512306312,160.52290868141696,0.0625,5.14559057544168
clarksville,0.141852286049238,0.021101992966002344,0.08089097303634232,,15160.0,47.0,Clarksville,clarksville,tennessee,LAUCT471516000000003,137588.0,91630.0,31713.0,284.0,168.0,589.0,378.0,288.0,624.0,470.0,391.0,11783.0,3685.0,7822.0,2878.0,5861.0,2229.0,330.0,351.0,44760.0,16000US4715160,clarksville,clarksville,853.0,0.24384525205158264,0.5049987072605483,-0.5720984759671747,1.486565796803281,515.8657024793471,876.6513566319876,-0.4835873388042204,3.622401970527793
cleveland,0.15575465196416263,0.043418332184700204,0.20847691247415576,,16000.0,39.0,Cleveland,cleveland,ohio,LAUCT391600000000003,393288.0,157705.0,207005.0,2346.0,900.0,1131.0,2700.0,3628.0,5458.0,7931.0,3798.0,41940.0,6534.0,20633.0,5799.0,11774.0,3565.0,1468.0,843.0,25819.0,16000US3916000,cleveland,cleveland,2902.0,0.4076498966230186,0.5849868736083108,0.2251895244658856,2.4675130593975934,179.11531978345724,72.1185685036237,0.18336492074431426,5.8234855832819905
clovis,0.013215859030837005,0.013215859030837005,0.030837004405286344,,,35.0,Clovis / Portales,clovis,new mexico,,2076325.0,1501984.0,42386.0,9148.0,8896.0,16820.0,14361.0,13981.0,18513.0,19877.0,12424.0,180295.0,37377.0,113430.0,43764.0,94468.0,45639.0,12962.0,15435.0,43518.0,04000US35,clovis,clovis,227.0,0.05726872246696035,0.23286885868406892,-0.8281938325991189,0.9873078607102255,192.72222222233336,29.925988952803007,-0.6960352422907489,2.6323602516235702
collegestation,0.08419497784342689,0.007385524372230428,0.06942392909896603,,15976.0,48.0,College Station,collegestation,texas,LAUCT481597600000003,95960.0,75892.0,5986.0,102.0,139.0,145.0,228.0,82.0,136.0,145.0,142.0,2200.0,576.0,2862.0,836.0,5081.0,3296.0,501.0,2456.0,30980.0,16000US4815976,collegestation,collegestation,677.0,0.16100443131462333,0.4273395698604332,-0.5915805022156573,1.5383759634193375,208.35623781673684,115.62282663037176,-0.7193500738552437,3.3065016895693544
coloradosprings,0.146489773355445,0.03482587064676617,0.10392482034273079,,16000.0,8.0,Colorado Springs,coloradosprings,colorado,LAUCT081600000000003,425725.0,343105.0,27097.0,791.0,362.0,968.0,1286.0,835.0,1680.0,2158.0,1740.0,26566.0,9149.0,24441.0,12715.0,29172.0,16035.0,3484.0,2182.0,52896.0,16000US0816000,coloradosprings,coloradosprings,1809.0,0.28524046434494194,0.49712443043485854,-0.4267551133222775,1.7241364794709493,202.2496406109585,87.36885457930055,-0.08512990602542841,4.961181725354028
columbia,0.23549144582354914,0.015431063401543106,0.08688359610868836,,16000.0,45.0,Columbia,columbia,south carolina,LAUCT451600000000003,130596.0,66340.0,55749.0,268.0,87.0,316.0,857.0,864.0,1172.0,1350.0,754.0,8426.0,1943.0,4816.0,2116.0,8189.0,3475.0,1865.0,890.0,40501.0,16000US4516000,columbia,columbia,2981.0,0.33780610533378064,0.5405780065672197,-0.4708151626970815,1.766053967795432,160.73547799937174,167.04374718110387,-0.5823549144582355,3.425674472780002
columbiamo,0.07727690892364306,0.04231830726770929,0.13707451701931922,,,29.0,Columbia/Jeff City,columbiamo,missouri,,6009025.0,4983458.0,693114.0,14986.0,5408.0,12091.0,46089.0,31191.0,51335.0,54546.0,32416.0,624399.0,134679.0,292487.0,123136.0,312024.0,119543.0,40583.0,26824.0,46068.0,04000US29,columbiamo,columbiamo,1087.0,0.25666973321067155,0.4962002436511578,-0.24133701318613618,1.9545088122970473,280.77215608465474,338.77475772471206,0.020239190432382703,4.9715169135342
columbus,0.17565290648694187,0.03706823925863521,0.16259477674810446,,18000.0,39.0,Columbus,columbus,ohio,LAUCT391800000000003,799357.0,496507.0,221271.0,2593.0,954.0,2081.0,3166.0,3810.0,4978.0,6714.0,4216.0,66145.0,13246.0,37668.0,15078.0,54817.0,16733.0,5481.0,4013.0,42491.0,16000US3918000,columbus,columbus,2374.0,0.37531592249368156,0.58589744555872,-0.08705419825891743,2.1298241962554116,183.85901754786184,143.67464403983618,0.019376579612468407,5.309673156177017
columbusga,0.17937971500419111,0.018440905280804692,0.06454316848281642,,19000.0,13.0,Columbus,columbusga,georgia,LAUCT131900000000003,194276.0,90317.0,87353.0,798.0,389.0,801.0,1157.0,966.0,1759.0,2064.0,1232.0,15273.0,3841.0,10961.0,3289.0,8252.0,2576.0,1301.0,714.0,39113.0,16000US1319000,columbusga,columbusga,1193.0,0.26236378876781224,0.48369395701907847,-0.6412405699916177,1.4054218371122207,170.32217030114487,71.4672607245592,-0.5205364626990779,3.540009438696498
cookeville,0.07352941176470588,0.004901960784313725,0.014705882352941176,,16920.0,47.0,Cookeville,cookeville,tennessee,LAUCT471692000000003,30755.0,28335.0,,52.0,0.0,24.0,125.0,150.0,322.0,172.0,169.0,2961.0,285.0,1363.0,313.0,1679.0,303.0,199.0,299.0,28212.0,16000US4716920,cookeville,cookeville,204.0,0.09313725490196079,0.3077840084322357,-0.9117647058823529,0.7307859481403706,230.66846240173336,34.8029697648357,-0.8872549019607843,1.6103220966322114
corpuschristi,0.18594436310395315,0.055636896046852125,0.06515373352855051,,17000.0,48.0,Corpus Christi,corpuschristi,texas,LAUCT481700000000003,308497.0,263149.0,13964.0,1735.0,998.0,2309.0,2142.0,2614.0,2884.0,3373.0,1589.0,24896.0,6627.0,18715.0,6470.0,12516.0,4916.0,1559.0,1259.0,46470.0,16000US4817000,corpuschristi,corpuschristi,1366.0,0.3067349926793558,0.5403011221656339,-0.6222547584187409,1.4668706456584906,242.1883202099921,81.50851880476823,0.578696925329429,6.660406772413568
corvallis,0.05670103092783505,0.030927835051546393,0.02577319587628866,,15800.0,41.0,Corvallis,corvallis,oregon,LAUCT411580000000003,54633.0,47223.0,,118.0,28.0,245.0,57.0,126.0,30.0,115.0,48.0,1700.0,577.0,1915.0,861.0,4113.0,1908.0,543.0,1409.0,37382.0,16000US4115800,corvallis,corvallis,194.0,0.1134020618556701,0.33380484074616307,-0.8608247422680413,0.8615032892056242,232.4242424242727,69.8902458476867,0.22164948453608246,7.045179541931967
cumberlandvalley,0.09361702127659574,0.02553191489361702,0.04680851063829787,,,24.0,Cumberland Valley,cumberlandvalley,maryland,,749950.0,654576.0,66958.0,1847.0,746.0,1564.0,5150.0,4049.0,6712.0,6612.0,4003.0,91553.0,16609.0,32417.0,14250.0,42520.0,20167.0,6131.0,4951.0,78668.0,04043US24,cumberlandvalley,cumberlandvalley,235.0,0.16595744680851063,0.44591047535087286,-0.7446808510638298,1.1995028369405103,146.8939393939091,78.05725658410903,-0.3617021276595745,3.956091980357223
dallas,0.14333814333814335,0.06625781625781625,0.2067099567099567,113.0,19000.0,48.0,Dallas,dallas,texas,LAUCT481900000000003,1219879.0,689407.0,298222.0,10625.0,10653.0,24890.0,12328.0,19131.0,9835.0,12501.0,7370.0,85943.0,13084.0,49173.0,16157.0,69382.0,26005.0,13187.0,4841.0,41745.0,16000US4819000,dallas,dallas,8316.0,0.4163059163059163,0.6380167819428889,0.21568863235529945,2.438653723361849,183.9709338713175,182.8563353528524,0.6159211159211159,6.1599764550808125
danville,0.06565656565656566,,0.03535353535353535,590.0,21344.0,51.0,Danville,danville,virginia,LAUCT512134400000003,42888.0,20297.0,20716.0,292.0,36.0,271.0,510.0,273.0,562.0,639.0,197.0,3766.0,1127.0,1575.0,1143.0,1425.0,563.0,284.0,161.0,31134.0,16000US5121344,danville,danville,198.0,0.10101010101010101,0.3488909039250151,-0.7929292929292929,1.114077208021053,211.1153846153846,116.50342517249472,-1.0,0.0
dayton,0.0845771144278607,0.021144278606965175,0.1181592039800995,,21000.0,39.0,Dayton,dayton,ohio,LAUCT392100000000003,141690.0,75534.0,59418.0,788.0,100.0,296.0,1189.0,931.0,1836.0,2415.0,1306.0,14042.0,2785.0,6902.0,2825.0,4277.0,1358.0,419.0,460.0,27278.0,16000US3921000,dayton,dayton,804.0,0.22388059701492538,0.4597111721666509,-0.236318407960199,2.151659414203191,188.5597572362647,82.96382606862211,-0.4228855721393035,4.032900020108986
daytona,0.09126984126984126,0.03492063492063492,0.07539682539682539,,,12.0,Daytona,daytona,florida,,19081930.0,14568707.0,3050618.0,85845.0,55567.0,110017.0,121607.0,122422.0,155499.0,160813.0,151644.0,1894340.0,382561.0,906784.0,505584.0,1080744.0,392209.0,163721.0,87027.0,45637.0,04000US12,daytona,daytona,1260.0,0.2015873015873016,0.4373332659900926,-0.5091269841269841,1.7585928918426537,704.481159420313,1645.9525518691191,-0.15555555555555556,4.5204953012864015
dc,0.21458080194410692,0.046658566221142166,0.1671931956257594,,,11.0,Washington D.C.,dc,district of columbia,,618777.0,247079.0,311415.0,3090.0,1749.0,2436.0,3391.0,3530.0,3580.0,4914.0,3206.0,37139.0,5853.0,20007.0,5871.0,47186.0,31761.0,18817.0,8429.0,64610.0,04000US11,dc,dc,4115.0,0.4284325637910085,0.6580848656021331,0.010814094775212637,2.3211823285196735,197.03581764906374,84.34163586620429,0.2345078979343864,5.795414173677005
decatur,0.009950248756218905,0.009950248756218905,0.014925373134328358,,18823.0,17.0,Decatur,decatur,illinois,LAUCT171882300000003,76080.0,54476.0,17656.0,251.0,12.0,47.0,404.0,536.0,689.0,878.0,547.0,8075.0,2082.0,3404.0,1448.0,3254.0,1141.0,330.0,233.0,38878.0,16000US1718823,decatur,decatur,201.0,0.03482587064676617,0.2092393235684038,-0.9104477611940298,0.736165944952266,175.0,35.35533905932738,-0.7164179104477612,2.839749831319233
delaware,,,,0.0,,10.0,Delaware,delaware, delaware,,,,,,,,,,,,,,,,,,,,,,,,delaware,,,,,,,,,
delrio,0.006369426751592357,,0.025477707006369428,,19792.0,48.0,Del Rio,delrio,texas,LAUCT481979200000003,35612.0,32500.0,,363.0,413.0,769.0,575.0,336.0,329.0,399.0,50.0,2939.0,762.0,1245.0,634.0,1389.0,244.0,64.0,0.0,40307.0,16000US4819792,delrio,delrio,157.0,0.03184713375796178,0.17615487669854818,-0.8152866242038217,1.1481403919502324,240.0,,-1.0,0.0
denton,0.088,0.20622222222222222,0.30044444444444446,121.0,19972.0,48.0,Denton,denton,texas,LAUCT481997200000003,117997.0,91063.0,12910.0,209.0,243.0,975.0,594.0,707.0,400.0,486.0,322.0,5356.0,2225.0,6638.0,2268.0,7431.0,2585.0,502.0,1001.0,47695.0,16000US4819972,denton,denton,1125.0,0.5946666666666667,0.8032230448552113,0.8586666666666667,2.864220935234623,270.2220828554202,356.53693297908166,3.76,9.381741941160705
denver,0.15386111651429682,0.03404007002528691,0.20910328729819103,31.0,20000.0,8.0,Denver,denver,colorado,LAUCT082000000000003,619016.0,447079.0,61950.0,2848.0,2039.0,6501.0,3583.0,4537.0,3933.0,4903.0,3536.0,40537.0,10065.0,30234.0,9587.0,55748.0,21617.0,8655.0,3854.0,49049.0,16000US0820000,denver,denver,5141.0,0.39700447383777476,0.6055376536434219,0.22233028593659016,2.4360115688933703,224.6820455320736,297.1387065607804,-0.05592297218439992,5.265539761289734
desmoines,0.13917940466613032,0.035398230088495575,0.18181818181818182,57.0,21000.0,19.0,Des Moines,desmoines,iowa,LAUCT192100000000003,205622.0,160091.0,21646.0,604.0,312.0,1262.0,1045.0,1191.0,1308.0,1852.0,1084.0,21430.0,4282.0,9299.0,4814.0,11014.0,2698.0,1149.0,503.0,44292.0,16000US1921000,desmoines,desmoines,1243.0,0.3563958165728077,0.589164542123718,-0.009654062751407884,2.168223920354605,186.6708413615769,67.69174073150411,-0.032180209171359615,5.28577168253585
detroit,0.22451708766716197,0.03536404160475483,0.17771173848439822,,22000.0,26.0,Detroit,detroit,michigan,LAUCT262200000000003,706522.0,85614.0,577270.0,4243.0,1654.0,3797.0,5380.0,5067.0,10005.0,14375.0,6247.0,72807.0,12553.0,34384.0,9304.0,12207.0,5327.0,1612.0,1053.0,25576.0,16000US2622000,detroit,detroit,6730.0,0.437592867756315,0.6002289408733791,0.05004952947003566,2.3233658438769775,170.81839656888317,101.41189597685674,-0.0638187221396731,5.023889131842144
dothan,0.12912912912912913,0.003003003003003003,0.06306306306306306,,21184.0,1.0,Dothan,dothan,alabama,LAUCT012118400000003,67269.0,42083.0,22082.0,246.0,112.0,254.0,460.0,460.0,738.0,638.0,328.0,6379.0,1239.0,3159.0,1452.0,3347.0,1053.0,536.0,205.0,41417.0,16000US0121184,dothan,dothan,333.0,0.19519519519519518,0.41184390068454474,-0.6396396396396397,1.404335752551307,229.76744186041853,93.62877092762936,-0.9279279279279279,1.3151918984428583
dubuque,0.059782608695652176,0.016304347826086956,0.0625,61.0,22395.0,19.0,Dubuque,dubuque,iowa,LAUCT192239500000003,57908.0,53207.0,,80.0,13.0,50.0,444.0,234.0,344.0,288.0,370.0,6373.0,1000.0,2579.0,1316.0,3562.0,1101.0,418.0,202.0,44737.0,16000US1922395,dubuque,dubuque,368.0,0.13858695652173914,0.36885589817280956,-0.6195652173913043,1.5027124706932675,203.97727272727272,87.24165634449865,-0.6168478260869565,2.98724607005299
duluth,0.03278688524590164,0.022950819672131147,0.11147540983606558,,17000.0,27.0,Duluth,duluth,minnesota,LAUCT271700000000003,86221.0,78652.0,2178.0,168.0,16.0,19.0,364.0,302.0,350.0,373.0,250.0,6257.0,1815.0,4828.0,2520.0,5432.0,1418.0,969.0,558.0,40606.0,16000US2717000,duluth,duluth,305.0,0.16721311475409836,0.4233020693697358,-0.38688524590163936,1.7722713839868616,227.0833333333,103.84227266667061,-0.4491803278688525,3.6352904281474068
eastbay,0.21681749622926094,0.12707390648567118,0.24924585218702866,,53000.0,6.0,Oakland,eastbay,california,LAUCT065300000000003,396030.0,162242.0,105709.0,4124.0,2481.0,5733.0,2908.0,3444.0,2130.0,2337.0,3362.0,24552.0,4840.0,21433.0,7369.0,28389.0,11641.0,3867.0,3596.0,50326.0,16000US0653000,eastbay,eastbay,2652.0,0.5931372549019608,0.7812386788108792,0.41798642533936653,2.5235901007138053,201.84642512076866,80.68994421531447,2.068815987933635,8.141413082001492
easternnc,0.24801192842942346,0.02982107355864811,0.13767395626242546,,,37.0,Eastern,easternnc,north carolina,,9654079.0,6749492.0,2073599.0,42351.0,25843.0,54627.0,76239.0,83866.0,98410.0,90449.0,44519.0,865028.0,180893.0,453891.0,219893.0,526465.0,178467.0,57298.0,45427.0,45215.0,04000US37,easternnc,easternnc,2012.0,0.415506958250497,0.6214451096577603,-0.1399933730947664,2.195486794099319,187.55932613525832,82.12044852634087,-0.26888667992047716,4.2393302053316635
easternshore,0.15053763440860216,0.03942652329749104,0.08960573476702509,,,24.0,Eastern Shore,easternshore,maryland,,749950.0,654576.0,66958.0,1847.0,746.0,1564.0,5150.0,4049.0,6712.0,6612.0,4003.0,91553.0,16609.0,32417.0,14250.0,42520.0,20167.0,6131.0,4951.0,78668.0,04043US24,easternshore,easternshore,279.0,0.27956989247311825,0.694773780240001,-0.45878136200716846,1.7540046529382622,224.16666666671426,87.36313337541658,0.0931899641577061,5.41499950541456
eastidaho,0.07380073800738007,0.007380073800738007,0.12177121771217712,,,16.0,East Idaho,eastidaho,idaho,,1128079.0,1033423.0,7782.0,3259.0,1849.0,4150.0,4723.0,4491.0,6977.0,6347.0,4970.0,87182.0,26212.0,61962.0,29061.0,62611.0,21883.0,7137.0,5430.0,44142.0,04001US16,eastidaho,eastidaho,271.0,0.2029520295202952,0.4862465400291402,-0.25092250922509224,2.068222773813568,1127.0111111111,2765.432005656215,-0.8007380073800738,2.315199257402268
eastky,0.006944444444444444,,,,,21.0,Eastern Kentucky,eastky,kentucky,,4364627.0,3838351.0,344032.0,16787.0,10721.0,18730.0,65008.0,35450.0,44964.0,42307.0,23339.0,505305.0,87123.0,190082.0,76575.0,178502.0,69955.0,26844.0,15834.0,41782.0,04000US21,eastky,eastky,144.0,0.006944444444444444,0.08333333333333333,-1.0,0.0,200.0,,-1.0,0.0
eastoregon,0.017964071856287425,0.011976047904191617,0.029940119760479042,,,41.0,East Oregon,eastoregon,oregon,,3868598.0,3285689.0,71194.0,12495.0,8045.0,16517.0,18390.0,16932.0,23378.0,28073.0,25062.0,325462.0,98932.0,234016.0,99469.0,237177.0,91014.0,31031.0,22169.0,48525.0,04000US41,eastoregon,eastoregon,167.0,0.059880239520958084,0.23797840345456908,-0.8023952095808383,1.1472309299892074,180.0,51.96152422706632,-0.688622754491018,2.845211982313162
eauclaire,0.05747126436781609,0.06896551724137931,0.07279693486590039,35.0,22300.0,55.0,Eau Claire,eauclaire,wisconsin,LAUCT552230000000003,66087.0,60916.0,,196.0,0.0,14.0,74.0,100.0,78.0,254.0,191.0,4571.0,1475.0,3061.0,2473.0,3716.0,1376.0,479.0,405.0,42508.0,16000US5522300,eauclaire,eauclaire,261.0,0.19923371647509577,0.49474098407183276,-0.5938697318007663,1.4864130696862694,249.35555555553336,117.64713629005742,0.8065134099616859,6.79011694903337
elko,,,,7.0,22500.0,32.0,Elko,elko,nevada,LAUCT322250000000003,,,,,,,,,,,,,,,,,,,,,,,elko,,,,,,,,,
elmira,0.06382978723404255,0.010638297872340425,0.06382978723404255,,24229.0,36.0,Elmira,elmira,new york,LAUCT362422900000003,29080.0,23121.0,3950.0,43.0,23.0,27.0,207.0,304.0,514.0,797.0,259.0,3550.0,705.0,992.0,753.0,629.0,320.0,120.0,50.0,29028.0,16000US3624229,elmira,elmira,282.0,0.13829787234042554,0.38479269724503373,-0.6134751773049646,1.5031033074151703,171.22530864194445,107.91786003364626,-0.74822695035461,2.4415764942945644
elpaso,0.14750830564784054,0.03322259136212625,0.09501661129568106,141.0,24000.0,48.0,El Paso,elpaso,texas,LAUCT482400000000003,662707.0,541806.0,22684.0,4944.0,3403.0,8383.0,3557.0,5122.0,3681.0,3999.0,3505.0,46113.0,10557.0,34738.0,13379.0,27530.0,10410.0,3577.0,1860.0,40920.0,16000US4824000,elpaso,elpaso,1505.0,0.2757475083056478,0.5436803171620118,-0.4504983388704319,1.7444940219016791,217.5792042042162,133.4389914667374,-0.13953488372093023,4.724785939822039
erie,0.11157894736842106,0.05473684210526316,0.05894736842105263,49.0,24000.0,42.0,Erie,erie,pennsylvania,LAUCT422400000000003,101419.0,76808.0,16434.0,347.0,119.0,183.0,572.0,386.0,1046.0,836.0,952.0,12264.0,2098.0,3849.0,1696.0,4127.0,951.0,448.0,441.0,31838.0,16000US4224000,erie,erie,475.0,0.22526315789473683,0.4521324114920896,-0.6336842105263157,1.5068486778841814,212.28511530396221,73.32585920675712,0.64,6.889489334568944
eugene,0.1741654571843251,0.023222060957910014,0.2104499274310595,,23850.0,41.0,Eugene,eugene,oregon,LAUCT412385000000003,157196.0,136209.0,,271.0,152.0,214.0,377.0,461.0,769.0,526.0,859.0,8563.0,3241.0,10202.0,3013.0,10699.0,4569.0,1462.0,1762.0,40435.0,16000US4123850,eugene,eugene,689.0,0.40783744557329465,0.5984447840729862,0.24238026124818576,2.483088877312504,198.7243055555417,75.8007178840198,-0.16690856313497823,5.550744439288296
evansville,0.06990291262135923,0.013592233009708738,0.06019417475728155,,22000.0,18.0,Evansville,evansville,indiana,LAUCT182200000000003,120386.0,99677.0,14491.0,294.0,44.0,272.0,650.0,616.0,1317.0,1224.0,868.0,13948.0,2495.0,6984.0,2224.0,4227.0,1284.0,528.0,325.0,35282.0,16000US1822000,evansville,evansville,515.0,0.1436893203883495,0.3566134221567911,-0.6679611650485436,1.3380261314525967,209.43287037038888,117.52469990209492,-0.6446601941747573,3.1076574232968386
everett,0.19609040928527796,0.1240073304825901,0.2773365913255956,,22640.0,53.0,Everett,everett,washington,LAUCT532264000000003,103818.0,78870.0,4569.0,362.0,128.0,200.0,770.0,397.0,876.0,755.0,1188.0,9748.0,3396.0,5788.0,3524.0,4871.0,1599.0,335.0,295.0,45553.0,16000US5322640,everett,everett,1637.0,0.5974343310934637,0.7817091581531203,0.5922419059254734,2.642291861027859,197.81360332293863,87.53969114737106,2.0158827122785583,8.105266596927091
fairbanks,,,,,24230.0,2.0,Fairbanks,fairbanks,alaska,LAUCT022423000000003,32021.0,21498.0,3031.0,150.0,0.0,25.0,119.0,152.0,186.0,281.0,162.0,3043.0,686.0,2250.0,779.0,1105.0,203.0,65.0,109.0,53140.0,16000US0224230,fairbanks,fairbanks,,,,,,,,,
fairfield,,,,,24933.0,36.0,Fairfield,fairfield,new york,LAUCT362493300000003,,,,,,,,,,,,,,,,,,,,,,,fairfield,,,,,,,,,
fargo,0.14124293785310735,0.02448210922787194,0.147834274952919,,25700.0,38.0,Fargo,fargo,north dakota,LAUCT382570000000003,107752.0,97036.0,2542.0,121.0,37.0,18.0,243.0,76.0,293.0,427.0,244.0,6585.0,1826.0,6315.0,3679.0,8124.0,2337.0,1355.0,1007.0,45644.0,16000US3825700,fargo,fargo,1062.0,0.3135593220338983,0.5340302068172917,-0.18879472693032015,2.0017420917151343,273.7131111110934,432.841412592228,-0.3775894538606403,4.209587664195455
farmington,0.04245283018867924,0.02358490566037736,0.04716981132075472,,25800.0,35.0,Farmington,farmington,new mexico,LAUCT352580000000003,45798.0,30172.0,,97.0,22.0,148.0,202.0,260.0,229.0,696.0,382.0,4277.0,915.0,2388.0,1312.0,2011.0,864.0,316.0,110.0,53778.0,16000US3525800,farmington,farmington,212.0,0.11320754716981132,0.3321837759214383,-0.7547169811320755,1.1211987555195202,105.55555555555556,61.41276559297568,-0.25471698113207547,4.825998550023483
