Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Forcible rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate,full_name,gid,subdomain,cost_exists,age_exists,cup_exists,place,url,state,bls_code,unemployment,b01001001,b01001a001,b01001b001,b15002003,b15002004,b15002005,b15002006,b15002007,b15002008,b15002009,b15002010,b15002011,b15002012,b15002013,b15002014,b15002015,b15002016,b15002017,b15002018,b19013001,gid,place.1,region,completeness_std,Cup_mean mean,Cup_mean std,Cost_hour_mean mean,Cost_hour_mean std,Age_mean mean,Age_mean std
Long Beach Police Dept,CA,12,469893.0,2705.0,32,115.0,1239,1319,14131.0,3799,7702.0,2630.0,575.7,6.8,24.5,263.7,280.7,3007.3,808.5,1639.1,559.7,"long beach,CA",16000US0643000,longbeach,0.21785578023655094,0.049217855780236554,0.10873712323540634,Long Beach,longbeach,california,LAUCT064300000000003,10.883333333333331,465125.0,251698.0,60010.0,4158.0,2696.0,5707.0,2743.0,4199.0,2369.0,3943.0,4305.0,29318.0,7016.0,25990.0,10627.0,26697.0,8009.0,3153.0,2490.0,51623.0,16000US0643000,longbeach,longbeach,0.5521734993048616,-0.35291873330789775,1.905300979177778,358.790081449976,854.0067110232274,0.21461274322777565,5.549242790375985
Los Angeles Police Dept,CA,12,3855122.0,18547.0,299,936.0,8983,8329,87478.0,16388,56006.0,15084.0,481.1,7.8,24.3,233.0,216.1,2269.1,425.1,1452.8,391.3,"los angeles,CA",16000US0644000,losangeles,0.163915547024952,0.07690339091490724,0.18119001919385797,Los Angeles,losangeles,california,LAUCT064400000000003,10.908333333333331,3825653.0,2012658.0,358659.0,36984.0,35037.0,83939.0,29238.0,41190.0,21726.0,29762.0,38808.0,247888.0,45419.0,176710.0,65598.0,254027.0,75772.0,40557.0,16901.0,47742.0,16000US0644000,losangeles,losangeles,0.653416770317692,0.05355086372360972,2.294424489227247,266.4563217393831,495.35541846274947,0.9072446150565322,6.745255253348038
Merced Police Dept,CA,12,80976.0,810.0,9,25.0,215,561,4111.0,955,2721.0,435.0,1000.3,11.1,30.9,265.5,692.8,5076.8,1179.4,3360.3,537.2,"merced,CA",16000US0646898,merced,0.017241379310344827,,0.028735632183908046,Merced,merced,california,LAUCT064689800000003,14.54166666666667,79987.0,49100.0,4562.0,1043.0,809.0,1193.0,425.0,804.0,592.0,793.0,615.0,4846.0,1342.0,4284.0,2021.0,2042.0,624.0,344.0,173.0,38688.0,16000US0646898,merced,merced,0.23596051286247782,-0.8333333333333334,0.9741356526426482,185.0,25.98076211353316,-1.0,0.0
Modesto Police Dept,CA,12,204631.0,1590.0,20,59.0,450,1061,11276.0,2571,6906.0,1799.0,777.0,9.8,28.8,219.9,518.5,5510.4,1256.4,3374.9,879.1,"modesto,CA",16000US0648354,modesto,0.12121212121212122,0.05194805194805195,0.07142857142857142,Modesto,modesto,california,LAUCT064835400000003,11.183333333333335,202400.0,147805.0,7810.0,1184.0,915.0,2097.0,1368.0,1047.0,1144.0,2271.0,2050.0,17200.0,4721.0,10516.0,3906.0,6803.0,2437.0,1409.0,250.0,45405.0,16000US0648354,modesto,modesto,0.5002417460305961,-0.5670995670995671,1.5899766798791313,206.41369047619642,115.57977694852845,0.3051948051948052,5.734541142015988
Monterey Police Dept,CA,12,28508.0,153.0,1,10.0,27,115,1016.0,274,704.0,38.0,536.7,3.5,35.1,94.7,403.4,3563.9,961.1,2469.5,133.3,"monterey,CA",16000US0648872,monterey,0.12645348837209303,0.036337209302325583,0.06686046511627906,Monterey,monterey,california,LAUCT064887200000003,4.608333333333333,28492.0,22099.0,,16.0,0.0,20.0,75.0,122.0,114.0,44.0,329.0,1345.0,374.0,1588.0,860.0,2294.0,1531.0,328.0,362.0,61374.0,16000US0648872,monterey,monterey,0.4760877628154037,-0.6119186046511628,1.4684366061037015,205.36398467434483,70.30137063443333,-0.09302325581395349,4.7987210983712405
Oakland Police Dept,CA,12,399487.0,7963.0,127,271.0,4338,3227,26342.0,6168,13198.0,6976.0,1993.3,31.8,67.8,1085.9,807.8,6594.0,1544.0,3303.7,1746.2,"oakland,CA",16000US0653000,eastbay,0.20494017753763025,0.12929370899266693,0.2300270165959089,Oakland,eastbay,california,LAUCT065300000000003,11.341666666666669,396030.0,162242.0,105709.0,4124.0,2481.0,5733.0,2908.0,3444.0,2130.0,2337.0,3362.0,24552.0,4840.0,21433.0,7369.0,28389.0,11641.0,3867.0,3596.0,50326.0,16000US0653000,eastbay,eastbay,0.7837762661488163,0.31223465843303744,2.4615108335175364,201.2257794517646,76.49369531480957,2.148591277499035,8.32087648426968
Palm Springs Police Dept,CA,12,45996.0,302.0,3,18.0,104,177,2232.0,883,1112.0,237.0,656.6,6.5,39.1,226.1,384.8,4852.6,1919.7,2417.6,515.3,"palm springs,CA",16000US0655254,palmsprings,0.15426997245179064,0.04201101928374656,0.10537190082644628,Palm Springs,palmsprings,california,LAUCT065525400000003,7.95,45306.0,35185.0,2033.0,118.0,202.0,522.0,161.0,221.0,191.0,460.0,423.0,3821.0,1446.0,4058.0,1184.0,5293.0,2018.0,855.0,485.0,44544.0,16000US0655254,palmsprings,palmsprings,0.5617463374711039,-0.3584710743801653,1.9086053820346367,206.8591269841076,141.12434329568535,0.10674931129476584,5.422497857663712
Palmdale,CA,12,155294.0,812.0,6,37.0,224,545,3393.0,1035,2068.0,290.0,522.9,3.9,23.8,144.2,350.9,2184.9,666.5,1331.7,186.7,"palmdale,CA",16000US0655156,palmdale,0.10384959713518353,0.03312444046553268,0.09579230080572963,Palmdale,palmdale,california,LAUCT065515600000003,12.266666666666667,154383.0,64108.0,22215.0,652.0,853.0,2216.0,1182.0,1143.0,1026.0,2034.0,1636.0,9707.0,2577.0,8061.0,2776.0,4068.0,1646.0,238.0,105.0,52284.0,16000US0655156,palmdale,palmdale,0.476585029491502,-0.4386750223813787,1.7876891931942123,160.44779693485262,87.62333361074215,-0.19695613249776187,4.384996991090553
Redding Police Dept,CA,12,90974.0,705.0,3,66.0,131,505,4380.0,1088,2790.0,502.0,774.9,3.3,72.5,144.0,555.1,4814.6,1195.9,3066.8,551.8,"redding,CA",16000US0659920,redding,0.12363636363636364,0.025454545454545455,0.04909090909090909,Redding,redding,california,LAUCT065992000000003,9.541666666666666,90351.0,78218.0,,360.0,0.0,142.0,231.0,171.0,467.0,799.0,612.0,7873.0,2559.0,5882.0,2938.0,4272.0,1316.0,743.0,282.0,41717.0,16000US0659920,redding,redding,0.44639454605035284,-0.7327272727272728,1.2008731713098528,221.29901960783826,89.79874106136465,-0.33454545454545453,4.273108959004643
Sacramento Police Dept,CA,12,476557.0,3520.0,34,125.0,1211,2150,19967.0,4474,12147.0,3346.0,738.6,7.1,26.2,254.1,451.2,4189.8,938.8,2548.9,702.1,"sacramento,CA",16000US0664000,sacramento,0.17521584560690706,0.047739969527679026,0.09649568308786186,Sacramento,sacramento,california,LAUCT066400000000003,10.333333333333334,471552.0,235539.0,66169.0,5115.0,1345.0,3651.0,3275.0,1721.0,2725.0,3464.0,4140.0,30900.0,9069.0,25518.0,11137.0,26318.0,9165.0,4125.0,2439.0,48692.0,16000US0664000,sacramento,sacramento,0.5531069889897883,-0.4377856780091417,1.7738830141655855,191.25104669887565,113.89832591625769,0.2529202640934485,5.74005173823039
