Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Forcible rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate,full_name,gid,subdomain,cost_exists,age_exists,cup_exists,place,url,state,bls_code,unemployment,b01001001,b01001a001,b01001b001,b15002003,b15002004,b15002005,b15002006,b15002007,b15002008,b15002009,b15002010,b15002011,b15002012,b15002013,b15002014,b15002015,b15002016,b15002017,b15002018,b19013001,gid,place.1,region,completeness_std,Cup_mean mean,Cup_mean std,Cost_hour_mean mean,Cost_hour_mean std,Age_mean mean,Age_mean std
San Diego Police Dept,CA,12,1338477.0,5529.0,47,304.0,1517,3661,31700.0,5902,19188.0,6610.0,413.1,3.5,22.7,113.3,273.5,2368.4,440.9,1433.6,493.8,"san diego,CA",16000US0666000,sandiego,0.1498354408453144,0.04209249956694959,0.1870777758531093,San Diego,sandiego,california,LAUCT066600000000003,7.550000000000001,1321545.0,844547.0,89532.0,6781.0,3086.0,9928.0,4558.0,7312.0,3759.0,6559.0,7832.0,72007.0,20889.0,72566.0,32559.0,106291.0,42640.0,16978.0,16707.0,63034.0,16000US0666000,sandiego,sandiego,0.6152282524684406,0.10488480859172007,2.3762782331269934,209.8485250940534,89.28929400527913,0.09059414515849645,5.462142425107166
San Francisco Police Dept,CA,12,820363.0,5777.0,69,108.0,3484,2116,38898.0,5317,28242.0,5339.0,704.2,8.4,13.2,424.7,257.9,4741.6,648.1,3442.6,650.8,"san francisco,CA",16000US0667000,sf,0.09689034369885434,0.2563011456628478,0.3905073649754501,San Francisco,sf,california,LAUCT066700000000003,5.716666666666666,815234.0,410383.0,48401.0,6396.0,3467.0,7433.0,4859.0,4130.0,3900.0,2740.0,6818.0,43235.0,10277.0,42271.0,16538.0,104018.0,41978.0,16672.0,8096.0,72888.0,16000US0667000,sf,sf,0.8332317298137605,1.2418985270049099,2.83910024005246,250.5229917417398,218.49426292966857,4.79328968903437,9.98388046642455
San Jose Police Dept,CA,12,976459.0,3547.0,45,280.0,1208,2014,28463.0,5206,14498.0,8759.0,363.3,4.6,28.7,123.7,206.3,2914.9,533.2,1484.8,897.0,"san jose,CA",16000US0668000,sanjose,0.21314285714285713,0.25085714285714283,0.36914285714285716,San Jose,sanjose,california,LAUCT066800000000003,7.625,969324.0,451915.0,30414.0,6884.0,3693.0,10958.0,5789.0,6360.0,5675.0,6337.0,7881.0,58260.0,13536.0,46354.0,22982.0,73727.0,36237.0,5540.0,8174.0,80155.0,16000US0668000,sanjose,sanjose,0.8933649917314839,1.1073333333333344,2.7958612130285636,196.02018557849493,104.76159679126407,4.827,10.184844897698179
San Luis Obispo Police Dept,CA,12,45947.0,119.0,1,20.0,19,79,1971.0,414,1476.0,81.0,259.0,2.2,43.5,41.4,171.9,4289.7,901.0,3212.4,176.3,"san luis obispo,CA",16000US0668154,sanluisobispo,0.14150943396226415,0.02830188679245283,0.07924528301886792,San Luis Obispo,sanluisobispo,california,LAUCT066815400000003,7.316666666666666,45527.0,37622.0,,87.0,55.0,136.0,126.0,54.0,70.0,111.0,233.0,1439.0,578.0,1764.0,1092.0,3648.0,1238.0,345.0,696.0,45756.0,16000US0668154,sanluisobispo,sanluisobispo,0.5720730192231036,-0.5386792452830189,1.6200872082478621,238.1962962962773,123.25677774889132,-0.14245283018867924,5.122505813164037
San Mateo Police Dept,CA,12,99303.0,261.0,0,13.0,81,167,1876.0,285,1448.0,143.0,262.8,0.0,13.1,81.6,168.2,1889.2,287.0,1458.2,144.0,"san mateo,CA",16000US0668252,sanmateo,0.14128440366972478,0.3522935779816514,0.39724770642201834,San Mateo,sanmateo,california,LAUCT066825200000003,4.266666666666667,98499.0,63674.0,,427.0,483.0,1018.0,713.0,582.0,197.0,416.0,623.0,5817.0,1872.0,5348.0,2584.0,8355.0,3527.0,1519.0,839.0,82551.0,16000US0668252,sanmateo,sanmateo,0.9369510057726096,1.3876146788990826,2.97510064929405,208.70905483407785,85.55026598997455,6.992660550458716,10.974004732798573
Santa Barbara Police Dept,CA,12,89871.0,363.0,0,53.0,95,215,3115.0,558,2424.0,133.0,403.9,0.0,59.0,105.7,239.2,3466.1,620.9,2697.2,148.0,"santa barbara,CA",16000US0669070,santabarbara,0.1584754262788365,0.033099297893681046,0.1815446339017051,Santa Barbara,santabarbara,california,LAUCT066907000000003,4.783333333333333,88996.0,66365.0,,632.0,530.0,1357.0,683.0,1238.0,238.0,369.0,309.0,4120.0,947.0,4827.0,2086.0,6792.0,2904.0,1235.0,1298.0,64098.0,16000US0669070,santabarbara,santabarbara,0.6038693829987428,0.0802407221664995,2.354944542322886,238.81821378340507,82.40660444854483,-0.16800401203610832,4.615552254980739
Santa Cruz Police Dept,CA,12,60902.0,433.0,3,34.0,83,313,3585.0,527,2794.0,264.0,711.0,4.9,55.8,136.3,513.9,5886.5,865.3,4587.7,433.5,"santa cruz,CA",16000US0669112,santacruz,0.06835722160970231,0.11356119073869901,0.41675854465270123,Santa Cruz,santacruz,california,LAUCT066911200000003,7.883333333333334,61372.0,48957.0,,112.0,44.0,278.0,69.0,76.0,704.0,130.0,143.0,2739.0,594.0,3342.0,1041.0,4240.0,2250.0,592.0,751.0,62631.0,16000US0669112,santacruz,santacruz,0.6807981392048702,1.3682469680264608,2.8290134928828072,220.83154121865965,82.3415423772586,1.442116868798236,6.865766818995288
Santa Maria Police Dept,CA,12,101207.0,690.0,0,21.0,145,524,2430.0,712,1318.0,400.0,681.8,0.0,20.7,143.3,517.8,2401.0,703.5,1302.3,395.2,"santa maria,CA",16000US0669196,santamaria,0.13387978142076504,0.03825136612021858,0.10655737704918032,Santa Maria,santamaria,california,LAUCT066919600000003,10.725,100529.0,76015.0,,1601.0,1561.0,3950.0,1287.0,1702.0,702.0,908.0,616.0,5358.0,1418.0,4091.0,1553.0,2783.0,804.0,272.0,148.0,50084.0,16000US0669196,santamaria,santamaria,0.5627081544644887,-0.35792349726775957,1.8945574694609297,196.09863945577553,72.42169237105065,-0.11748633879781421,4.444466495690985
Stockton Police Dept,CA,12,299105.0,4630.0,71,90.0,1556,2913,15258.0,4416,8339.0,2503.0,1548.0,23.7,30.1,520.2,973.9,5101.2,1476.4,2788.0,836.8,"stockton,CA",16000US0675000,stockton,0.17827868852459017,0.125,0.07581967213114754,Stockton,stockton,california,LAUCT067500000000003,15.550000000000002,295354.0,133879.0,33975.0,3645.0,1522.0,4333.0,1977.0,1859.0,1806.0,2601.0,3084.0,20696.0,5210.0,13708.0,6984.0,9480.0,2745.0,1187.0,831.0,45360.0,16000US0675000,stockton,stockton,0.6358018160068069,-0.5799180327868853,1.5007754304530587,167.19923371647127,62.9695428976469,2.0778688524590163,8.282368024275495
Visalia Police Dept,CA,12,127604.0,544.0,5,44.0,134,361,5531.0,1227,3778.0,526.0,426.3,3.9,34.5,105.0,282.9,4334.5,961.6,2960.7,412.2,"visalia,CA",16000US0682954,visalia,0.09774436090225563,0.022556390977443608,0.018796992481203006,Visalia,visalia,california,LAUCT068295400000003,8.658333333333333,125986.0,102332.0,2758.0,1350.0,741.0,987.0,710.0,605.0,703.0,1306.0,909.0,8473.0,2517.0,7374.0,3259.0,5132.0,1525.0,1088.0,396.0,52272.0,16000US0682954,visalia,visalia,0.42494565005930685,-0.9097744360902256,0.6611441953478331,221.08974358973077,77.13760044044237,-0.5150375939849624,3.2004951560445107
Boulder Police Dept,CO,12,100257.0,249.0,0,32.0,48,169,2937.0,472,2337.0,128.0,248.4,0.0,31.9,47.9,168.6,2929.5,470.8,2331.0,127.7,"boulder,CO",16000US0807850,boulder,0.1317016317016317,0.03496503496503497,0.13986013986013987,Boulder,boulder,colorado,LAUCT080785000000003,5.0249999999999995,100403.0,88748.0,,151.0,44.0,442.0,46.0,116.0,163.0,147.0,101.0,1952.0,959.0,3229.0,1039.0,9611.0,5750.0,1585.0,3139.0,56205.0,16000US0807850,boulder,boulder,0.5554266600189457,-0.1794871794871795,2.0885750711246707,325.11469307483185,595.0224125055157,0.04895104895104895,5.869441465970603
Colorado Springs,CO,12,432287.0,1968.0,18,358.0,523,1069,17899.0,3641,12456.0,1802.0,455.3,4.2,82.8,121.0,247.3,4140.5,842.3,2881.4,416.9,"colorado springs,CO",16000US0816000,coloradosprings,0.1403705783267827,0.023020774845592364,0.11622683885457608,Colorado Springs,coloradosprings,colorado,LAUCT081600000000003,7.925000000000001,425725.0,343105.0,27097.0,791.0,362.0,968.0,1286.0,835.0,1680.0,2158.0,1740.0,26566.0,9149.0,24441.0,12715.0,29172.0,16035.0,3484.0,2182.0,52896.0,16000US0816000,coloradosprings,coloradosprings,0.49192932508882553,-0.3466217480816003,1.847226377941934,208.21773913043202,198.18966571577698,-0.42897248736664795,3.8034774907019413
Denver Police Dept,CO,12,628545.0,3871.0,39,376.0,1165,2291,23343.0,5129,14544.0,3670.0,615.9,6.2,59.8,185.3,364.5,3713.8,816.0,2313.9,583.9,"denver,CO",16000US0820000,denver,0.17138468290542022,0.04366908053543998,0.2032038621900373,Denver,denver,colorado,LAUCT082000000000003,7.0249999999999995,619016.0,447079.0,61950.0,2848.0,2039.0,6501.0,3583.0,4537.0,3933.0,4903.0,3536.0,40537.0,10065.0,30234.0,9587.0,55748.0,21617.0,8655.0,3854.0,49049.0,16000US0820000,denver,denver,0.6352950973709203,0.17361568283227344,2.3838700252321017,226.4476950084352,313.46051634460537,0.17105551898178625,5.767345335377898
Fort Collins Police Dept,CO,12,148792.0,391.0,2,44.0,40,305,4119.0,598,3379.0,142.0,262.8,1.3,29.6,26.9,205.0,2768.3,401.9,2271.0,95.4,"fort collins,CO",16000US0827425,fortcollins,0.18657453109575517,0.03257650542941757,0.13425468904244817,Fort Collins,fortcollins,colorado,LAUCT082742500000003,5.3,146235.0,131007.0,,249.0,119.0,239.0,267.0,190.0,311.0,330.0,242.0,5941.0,2370.0,6431.0,3041.0,13321.0,5685.0,1155.0,1834.0,51830.0,16000US0827425,fortcollins,fortcollins,0.5757627268547085,-0.2349457058242843,1.997177584088405,277.22104644325395,335.30283687123045,-0.04146100691016782,5.50406413244082
Pueblo Police Dept,CO,12,109065.0,797.0,8,21.0,199,569,7030.0,1895,4642.0,493.0,730.8,7.3,19.3,182.5,521.7,6445.7,1737.5,4256.2,452.0,"pueblo,CO",16000US0862000,pueblo,0.19686800894854586,0.05145413870246085,0.0894854586129754,Pueblo,pueblo,colorado,LAUCT086200000000003,10.508333333333333,107364.0,80879.0,2444.0,318.0,553.0,339.0,1115.0,575.0,1115.0,1197.0,755.0,9827.0,3109.0,5948.0,2903.0,4074.0,1544.0,438.0,335.0,34083.0,16000US0862000,pueblo,pueblo,0.5681988130511867,-0.4563758389261745,1.7595984871574712,242.1079545454659,304.01243509026204,0.3333333333333333,5.999875434681047
East Hartford Police,CT,12,51431.0,192.0,2,26.0,83,81,1573.0,362,1029.0,182.0,373.3,3.9,50.6,161.4,157.5,3058.5,703.9,2000.7,353.9,"east hartford police,CT",04000US09,newlondon,0.09142394822006472,0.0703883495145631,0.19902912621359223,Eastern Connecticut,newlondon,connecticut,,,3584561.0,2797813.0,362387.0,11484.0,8238.0,13052.0,20176.0,15663.0,21171.0,21463.0,20134.0,333606.0,60254.0,140802.0,67713.0,241148.0,121978.0,41542.0,24148.0,67544.0,04000US09,newlondon,newlondon,0.5935310686806081,0.22815533980582525,2.5379963078068295,295.6106194690354,817.6022300317464,0.7726537216828478,6.571137707111623
East Hartford Police,CT,12,51431.0,192.0,2,26.0,83,81,1573.0,362,1029.0,182.0,373.3,3.9,50.6,161.4,157.5,3058.5,703.9,2000.7,353.9,"east hartford police,CT",04000US09,nwct,0.13608562691131498,0.05045871559633028,0.14067278287461774,Northwest Connecticut,nwct,connecticut,,,3584561.0,2797813.0,362387.0,11484.0,8238.0,13052.0,20176.0,15663.0,21171.0,21463.0,20134.0,333606.0,60254.0,140802.0,67713.0,241148.0,121978.0,41542.0,24148.0,67544.0,04000US09,nwct,nwct,0.6309713641934575,-0.17737003058103976,2.082312692841706,179.3320848938764,112.21388294645776,0.36850152905198774,6.123310609470902
Hartford Police Dept,CT,12,125203.0,1655.0,23,27.0,640,965,5319.0,1050,3467.0,802.0,1321.9,18.4,21.6,511.2,770.7,4248.3,838.6,2769.1,640.6,"hartford,CT",16000US0937000,hartford,0.20029168692270297,0.08604764219737482,0.23140495867768596,Hartford,hartford,connecticut,LAUCT093700000000003,14.658333333333333,124894.0,46222.0,47157.0,1152.0,820.0,1637.0,1497.0,1291.0,1184.0,2089.0,910.0,10566.0,1291.0,4270.0,1469.0,3107.0,1403.0,676.0,277.0,28415.0,16000US0937000,hartford,hartford,0.673137412001069,0.36412250850753525,2.568636809460288,267.5953344120679,716.3168874457726,1.193971803597472,7.330828952945013
New Haven Police Dept,CT,12,129934.0,1870.0,17,55.0,844,954,6516.0,1451,4351.0,714.0,1439.2,13.1,42.3,649.6,734.2,5014.9,1116.7,3348.6,549.5,"new haven,CT",16000US0952000,newhaven,0.19957761351636746,0.056494192185850056,0.16050686378035903,New Haven,newhaven,connecticut,LAUCT095200000000003,11.225,130378.0,59149.0,45471.0,690.0,651.0,1210.0,757.0,1099.0,1001.0,1234.0,913.0,11285.0,971.0,4010.0,1448.0,5750.0,3014.0,1253.0,2175.0,36413.0,16000US0952000,newhaven,newhaven,0.6125640989900557,-0.011351636747624076,2.333635850113506,218.3970878474887,452.70852496359765,0.3595564941921858,5.636372615773657
Washington Metropolitan Police Dept,DC,12,632323.0,7448.0,88,236.0,3725,3399,29264.0,3519,22196.0,3549.0,1177.9,13.9,37.3,589.1,537.5,4628.0,556.5,3510.2,561.3,"washington metropolitan,DC",04000US11,dc,0.24276996550809232,0.05041124966834704,0.16211196603873707,Washington D.C.,dc,district of columbia,,,618777.0,247079.0,311415.0,3090.0,1749.0,2436.0,3391.0,3530.0,3580.0,4914.0,3206.0,37139.0,5853.0,20007.0,5871.0,47186.0,31761.0,18817.0,8429.0,64610.0,04000US11,dc,dc,0.6710412934179754,-0.023348368267444946,2.275594305588888,204.35027322403556,334.97788950616604,0.4075351552135845,6.419889021899136
Washington Metropolitan Police Dept,DC,12,632323.0,7448.0,88,236.0,3725,3399,29264.0,3519,22196.0,3549.0,1177.9,13.9,37.3,589.1,537.5,4628.0,556.5,3510.2,561.3,"washington metropolitan,DC",04000US11,nova,0.2274904214559387,0.07399425287356322,0.2092911877394636,Northern Virginia,nova,district of columbia,,,618777.0,247079.0,311415.0,3090.0,1749.0,2436.0,3391.0,3530.0,3580.0,4914.0,3206.0,37139.0,5853.0,20007.0,5871.0,47186.0,31761.0,18817.0,8429.0,64610.0,04000US11,nova,nova,0.7064315463159855,0.21667464878671697,2.4308384661755817,242.69424394318557,425.22800151342676,0.9909003831417624,7.34472239892426
Washington Metropolitan Police Dept,DC,12,632323.0,7448.0,88,236.0,3725,3399,29264.0,3519,22196.0,3549.0,1177.9,13.9,37.3,589.1,537.5,4628.0,556.5,3510.2,561.3,"washington metropolitan,DC",04000US11,southernmaryland,0.17492260061919504,0.02889576883384933,0.12693498452012383,Southern Maryland,southernmaryland,district of columbia,,,618777.0,247079.0,311415.0,3090.0,1749.0,2436.0,3391.0,3530.0,3580.0,4914.0,3206.0,37139.0,5853.0,20007.0,5871.0,47186.0,31761.0,18817.0,8429.0,64610.0,04000US11,southernmaryland,southernmaryland,0.5625496479452312,-0.23968008255933954,2.065514295253943,193.3774172402572,91.56836776876327,-0.22755417956656346,4.636511326164491
Fort Myers Police Dept,FL,12,64379.0,754.0,24,26.0,172,532,2346.0,507,1639.0,200.0,1171.2,37.3,40.4,267.2,826.4,3644.0,787.5,2545.9,310.7,"fort myers,FL",16000US1224125,fortmyers,0.13739224137931033,0.03933189655172414,0.1136853448275862,Fort Myers,fortmyers,florida,LAUCT122412500000003,6.783333333333334,64070.0,36990.0,20727.0,388.0,226.0,614.0,610.0,437.0,814.0,1056.0,926.0,6734.0,1090.0,2620.0,1344.0,3217.0,1148.0,351.0,463.0,35128.0,16000US1224125,fortmyers,fortmyers,0.5121011570351247,-0.3292025862068966,1.9069820952220162,429.72483660129103,1303.2265910524086,0.08297413793103449,5.493795666593814
Gainesville Police Dept,FL,12,127036.0,851.0,6,74.0,171,600,5201.0,1009,3953.0,239.0,669.9,4.7,58.3,134.6,472.3,4094.1,794.3,3111.7,188.1,"gainesville,FL",16000US1225175,gainesville,0.12183908045977011,0.03908045977011494,0.052873563218390804,Gainesville,gainesville,florida,LAUCT122517500000003,5.591666666666666,125273.0,82446.0,28561.0,444.0,62.0,126.0,265.0,336.0,659.0,700.0,445.0,6558.0,1417.0,3418.0,3047.0,5990.0,3357.0,1254.0,2715.0,31294.0,16000US1225175,gainesville,gainesville,0.4918606587870129,-0.671264367816092,1.4180659161997582,421.71383647799337,1037.6978288486491,0.05172413793103448,5.405605113600214
Jacksonville,FL,12,840660.0,5189.0,93,341.0,1371,3384,34674.0,7632,25403.0,1639.0,617.3,11.1,40.6,163.1,402.5,4124.6,907.9,3021.8,195.0,"jacksonville,FL",16000US1235000,jacksonville,0.21109560362875088,0.047801814375436145,0.08827634333565945,Jacksonville,jacksonville,florida,LAUCT123500000000003,7.183333333333334,829535.0,501985.0,253136.0,3231.0,1244.0,1658.0,3875.0,4666.0,8306.0,7008.0,4517.0,77458.0,18282.0,40851.0,22919.0,44742.0,12071.0,5038.0,2681.0,45577.0,16000US1235000,jacksonville,jacksonville,0.5584702702434995,-0.46615491974877876,1.7498159491562781,194.87863701955882,294.47120835019575,0.18545010467550593,5.439455215681839
Lakeland Police Dept,FL,12,99934.0,465.0,10,33.0,144,278,5216.0,1296,3735.0,185.0,465.3,10.0,33.0,144.1,278.2,5219.4,1296.9,3737.5,185.1,"lakeland,FL",16000US1238250,lakeland,0.08812260536398467,,0.01532567049808429,Lakeland,lakeland,florida,LAUCT123825000000003,7.566666666666667,98968.0,72319.0,20523.0,480.0,382.0,323.0,735.0,499.0,919.0,739.0,476.0,10137.0,1476.0,4571.0,1865.0,5236.0,1756.0,450.0,464.0,37833.0,16000US1238250,lakeland,lakeland,0.30512857662936466,-0.8850574712643678,0.9293333510929116,180.08695652173913,62.97828849797673,-1.0,0.0
Miami Police Dept,FL,12,414327.0,4856.0,69,65.0,2096,2626,22271.0,4255,15305.0,2711.0,1172.0,16.7,15.7,505.9,633.8,5375.2,1027.0,3693.9,654.3,"miami,FL",16000US1245000,miami,0.11095305832147938,0.055298719772403984,0.08979374110953059,Miami,miami,florida,LAUCT124500000000003,9.316666666666666,408322.0,305357.0,79841.0,2902.0,5628.0,12355.0,5306.0,4031.0,3434.0,3716.0,5500.0,44269.0,3609.0,11803.0,9436.0,18964.0,7210.0,4855.0,1652.0,28935.0,16000US1245000,miami,miami,0.5265989940232779,-0.46834992887624466,1.7283436196762532,196.686053876682,113.69096437698738,0.4165184921763692,5.975099162718581
Ocala Police Dept,FL,12,57288.0,375.0,6,42.0,92,235,3097.0,606,2431.0,60.0,654.6,10.5,73.3,160.6,410.2,5406.0,1057.8,4243.5,104.7,"ocala,FL",16000US1250750,ocala,0.06761565836298933,0.02491103202846975,0.03914590747330961,Ocala,ocala,florida,LAUCT125075000000003,7.791666666666664,56616.0,38801.0,12566.0,130.0,108.0,155.0,264.0,237.0,472.0,582.0,692.0,5248.0,1246.0,2350.0,1377.0,2919.0,615.0,577.0,287.0,35310.0,16000US1250750,ocala,ocala,0.36868564487647276,-0.7259786476868327,1.3614246966080619,1222.2894736842106,2002.9605878905752,-0.4128113879003559,3.9099096547150647
Okaloosa County Sheriff Department,FL,12,,643.0,0,52.0,60,531,3062.0,577,2359.0,126.0,,,,,,,,,,"okaloosa county,FL",05000US12091,okaloosa,,,,Okaloosa,okaloosa,florida,,,184699.0,148075.0,16406.0,317.0,135.0,326.0,703.0,573.0,1030.0,1070.0,852.0,15060.0,4319.0,11656.0,6178.0,10620.0,6550.0,1333.0,647.0,53008.0,05000US12091,okaloosa,okaloosa,,,,,,,
Orlando Police Dept,FL,12,246513.0,2508.0,24,103.0,603,1778,16304.0,3778,11222.0,1304.0,1017.4,9.7,41.8,244.6,721.3,6613.8,1532.6,4552.3,529.0,"orlando,FL",16000US1253000,orlando,0.19345163709072732,0.03599100224943764,0.08847788052986753,Orlando,orlando,florida,LAUCT125300000000003,6.7,243895.0,142182.0,71262.0,506.0,571.0,967.0,1610.0,839.0,1799.0,1304.0,1729.0,20157.0,3518.0,10626.0,7392.0,15142.0,5546.0,2076.0,1036.0,41266.0,16000US1253000,orlando,orlando,0.5458033296722636,-0.47775556110972256,1.7213381600472033,220.4323140970387,197.7936382995269,-0.02224443889027743,5.321196299821563
Pensacola Police Dept,FL,12,52909.0,473.0,7,30.0,89,347,3032.0,711,2201.0,120.0,894.0,13.2,56.7,168.2,655.8,5730.6,1343.8,4160.0,226.8,"pensacola,FL",16000US1255925,pensacola,0.14651639344262296,0.027663934426229508,0.07991803278688525,Pensacola,pensacola,florida,LAUCT125592500000003,6.491666666666666,52083.0,36055.0,12603.0,160.0,115.0,195.0,144.0,326.0,306.0,541.0,181.0,4893.0,1184.0,2799.0,1149.0,3193.0,1378.0,667.0,274.0,43646.0,16000US1255925,pensacola,pensacola,0.4782270746524533,-0.5194672131147541,1.6682956520094576,213.28671328671328,122.57775215354148,-0.2346311475409836,4.666165115965073
Sarasota Police Dept,FL,12,53055.0,425.0,4,25.0,136,260,2897.0,705,2093.0,99.0,801.1,7.5,47.1,256.3,490.1,5460.4,1328.8,3945.0,186.6,"sarasota,FL",16000US1264175,sarasota,0.11629279811097992,0.031877213695395513,0.1292798110979929,Sarasota,sarasota,florida,LAUCT126417500000003,7.116666666666667,52420.0,41791.0,7740.0,47.0,22.0,83.0,422.0,428.0,373.0,308.0,232.0,6154.0,1055.0,2359.0,967.0,3316.0,1695.0,667.0,289.0,40370.0,16000US1264175,sarasota,sarasota,0.5107229297260795,-0.1951003541912633,2.123097366909882,173.93683023125888,96.772494273047,-0.023022432113341203,5.734121975402477
Tallahassee Police Dept,FL,12,185461.0,1582.0,12,115.0,525,930,8617.0,2630,5463.0,524.0,853.0,6.5,62.0,283.1,501.5,4646.3,1418.1,2945.6,282.5,"tallahassee,FL",16000US1270600,tallahassee,0.10311750599520383,0.032773780975219824,0.045563549160671464,Tallahassee,tallahassee,florida,LAUCT127060000000003,6.208333333333333,184079.0,105248.0,64127.0,268.0,76.0,186.0,339.0,527.0,526.0,1029.0,546.0,7070.0,2236.0,6793.0,4331.0,11721.0,5754.0,2284.0,1871.0,38865.0,16000US1270600,tallahassee,tallahassee,0.4212455361883294,-0.7394084732214229,1.2338710345154178,246.63652024117826,529.8912372550806,0.042366107114308556,5.744754448804436
Tampa Police Dept,FL,12,350758.0,2162.0,23,43.0,573,1523,9947.0,2476,6864.0,607.0,616.4,6.6,12.3,163.4,434.2,2835.9,705.9,1956.9,173.1,"tampa,FL",16000US1271000,tampa,0.1992105874158347,0.03575574645925238,0.1437195263524495,Tampa,tampa,florida,LAUCT127100000000003,7.683333333333334,343677.0,218593.0,90575.0,1072.0,1054.0,1805.0,1855.0,1729.0,2436.0,3015.0,2548.0,30406.0,5340.0,12910.0,8172.0,21192.0,8557.0,4240.0,1920.0,41524.0,16000US1271000,tampa,tampa,0.5853457701947049,-0.1360575806826097,2.162374613861686,256.1735949235841,550.2494668038909,0.058741583468771764,5.677786475498366
West Palm Beach Police Dept,FL,12,102422.0,821.0,17,31.0,334,439,5404.0,1289,3801.0,314.0,801.6,16.6,30.3,326.1,428.6,5276.2,1258.5,3711.1,306.6,"west palm beach,FL",16000US1276600,westpalmbeach,0.13890784982935153,0.04573378839590444,0.11262798634812286,West Palm Beach,westpalmbeach,florida,LAUCT127660000000003,7.033333333333334,100940.0,63923.0,30652.0,526.0,670.0,1150.0,624.0,408.0,766.0,536.0,814.0,8266.0,2040.0,5187.0,2208.0,6770.0,2294.0,1486.0,664.0,42843.0,16000US1276600,westpalmbeach,westpalmbeach,0.550017274317194,-0.34340159271899656,1.8975363013427329,224.12741864120065,208.18462895538758,0.2784982935153584,6.1730547362893855
Albany Police Dept,GA,12,78512.0,813.0,4,27.0,224,558,5001.0,1408,3369.0,224.0,1035.5,5.1,34.4,285.3,710.7,6369.7,1793.4,4291.1,285.3,"albany,GA",16000US1301052,albanyga,0.11434977578475336,0.004484304932735426,0.04932735426008968,Albany,albanyga,georgia,LAUCT130105200000003,10.216666666666669,77546.0,19150.0,55701.0,416.0,187.0,147.0,782.0,377.0,1235.0,1474.0,806.0,6609.0,1430.0,3423.0,915.0,2187.0,550.0,277.0,260.0,27400.0,16000US1301052,albanyga,albanyga,0.386246391573797,-0.7017937219730942,1.3250724508683989,208.05555555552942,65.04051443920993,-0.8811659192825112,1.8253531557469762
Atlanta Police Dept,GA,12,437041.0,6027.0,83,113.0,2276,3555,28554.0,6192,17212.0,5150.0,1379.0,19.0,25.9,520.8,813.4,6533.5,1416.8,3938.3,1178.4,"atlanta,GA",16000US1304000,atlanta,0.17538293216630196,0.022100656455142233,0.10787746170678338,Atlanta,atlanta,georgia,LAUCT130400000000003,10.041666666666666,432752.0,170129.0,231265.0,1335.0,700.0,1149.0,2099.0,2016.0,3154.0,4503.0,1839.0,29150.0,4266.0,18984.0,5176.0,40419.0,16572.0,8007.0,2953.0,44784.0,16000US1304000,atlanta,atlanta,0.5212139688951897,-0.3578227571115974,1.9019116883723906,193.70516244344165,142.60063245492046,-0.3938730853391685,4.145615952054134
Columbus Police Dept,GA,12,196178.0,994.0,17,31.0,423,523,11266.0,2709,7711.0,846.0,506.7,8.7,15.8,215.6,266.6,5742.7,1380.9,3930.6,431.2,"columbus,GA",16000US1319000,columbusga,0.1652249134948097,0.025951557093425604,0.04844290657439446,Columbus,columbusga,georgia,LAUCT131900000000003,8.883333333333335,194276.0,90317.0,87353.0,798.0,389.0,801.0,1157.0,966.0,1759.0,2064.0,1232.0,15273.0,3841.0,10961.0,3289.0,8252.0,2576.0,1301.0,714.0,39113.0,16000US1319000,columbusga,columbusga,0.4564358748112123,-0.7093425605536332,1.31140158336556,166.87260034904554,60.38287891423774,-0.31747404844290655,4.245546383003608
Macon Police Dept,GA,12,92836.0,583.0,21,41.0,242,279,6699.0,1828,4371.0,500.0,628.0,22.6,44.2,260.7,300.5,7216.0,1969.1,4708.3,538.6,"macon,GA",16000US1349000,macon,0.07466666666666667,0.02266666666666667,0.076,Macon,macon,georgia,LAUCT134900000000003,10.374999999999998,91675.0,26785.0,61313.0,272.0,158.0,451.0,811.0,895.0,1327.0,1560.0,632.0,8681.0,1241.0,3317.0,792.0,1990.0,822.0,585.0,265.0,24847.0,16000US1349000,macon,macon,0.43751171400182504,-0.5853333333333334,1.4855490992580576,261.66220238091967,645.8245783099304,-0.20533333333333334,5.409992319787123
Savannah Police Dept,GA,12,231285.0,878.0,23,25.0,491,339,8325.0,2083,5583.0,659.0,379.6,9.9,10.8,212.3,146.6,3599.5,900.6,2413.9,284.9,"savannah,GA",16000US1369000,savannah,0.17996742671009772,0.02687296416938111,0.10749185667752444,Savannah,savannah,georgia,LAUCT136900000000003,8.875,139667.0,57047.0,75557.0,648.0,243.0,500.0,705.0,1124.0,1253.0,1808.0,1011.0,12815.0,2112.0,6531.0,2053.0,5892.0,1987.0,799.0,451.0,34832.0,16000US1369000,savannah,savannah,0.555529184811803,-0.38721498371334695,1.8196972191826324,309.2494972348145,726.4187052421281,-0.2760586319218241,4.481731106538066
