Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Forcible rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate,full_name,gid,subdomain,cost_exists,age_exists,cup_exists,place,url,state,bls_code,unemployment,b01001001,b01001a001,b01001b001,b15002003,b15002004,b15002005,b15002006,b15002007,b15002008,b15002009,b15002010,b15002011,b15002012,b15002013,b15002014,b15002015,b15002016,b15002017,b15002018,b19013001,gid.1,place.1,region,completeness_std,Cup_mean mean,Cup_mean std,Cost_hour_mean mean,Cost_hour_mean std,Age_mean mean,Age_mean std,black_fraction,lpop,price,college_plus_frac
Juneau Police Dept,AK,12,32553.0,115.0,0,9.0,16,90,1099.0,94,975.0,30.0,353.3,0.0,27.6,49.2,276.5,3376.0,288.8,2995.1,92.2,"juneau,AK",05000US02110,juneau,,,,Juneau,juneau,alaska,,,32071.0,22256.0,,5.0,0.0,59.0,96.0,4.0,83.0,125.0,129.0,2610.0,894.0,2509.0,558.0,2225.0,1401.0,289.0,177.0,78547.0,05000US02110,juneau,juneau,,,,,,,,,10.375707473990893,,0.12759190545976115
Mohave County Sheriff Department,AZ,12,,125.0,5,12.0,16,92,2288.0,790,1343.0,155.0,,,,,,,,,,"mohave county,AZ",05000US04015,mohave,0.048929663608562685,0.009174311926605505,0.05504587155963303,Mohave County,mohave,arizona,,,202102.0,178891.0,,894.0,270.0,859.0,1452.0,1522.0,2200.0,3662.0,1805.0,25032.0,6872.0,14155.0,5548.0,5640.0,2361.0,852.0,489.0,36976.0,05000US04015,mohave,mohave,0.3172613622165454,-0.6697247706422018,1.3816615266856,166.666666666625,57.33591725434447,-0.7889908256880734,2.1962323894580305,,12.216527799433791,166.666666666625,0.04622418382796806
Phoenix Police Dept,AZ,12,1485509.0,9458.0,123,556.0,3516,5263,60777.0,17912,35678.0,7187.0,636.7,8.3,37.4,236.7,354.3,4091.3,1205.8,2401.7,483.8,"phoenix,AZ",16000US0455000,phoenix,0.18044979635204533,0.0414379316451213,0.12077209137595185,Phoenix,phoenix,arizona,LAUCT045500000000003,6.975000000000001,1467400.0,1139484.0,100206.0,6946.0,7039.0,17693.0,12809.0,10417.0,9883.0,12644.0,12448.0,108392.0,27356.0,71704.0,30959.0,78018.0,27202.0,9784.0,4351.0,44649.0,16000US0455000,phoenix,phoenix,0.5560910026637169,-0.2578065049288702,2.055136689391412,210.8817351278233,167.54806575301166,0.11537099344784843,5.545141861473219,0.06828812866294126,14.19900268526203,210.8817351278233,0.08133774022079869
Prescott Police Dept,AZ,12,40420.0,168.0,2,14.0,19,133,1104.0,197,883.0,24.0,415.6,4.9,34.6,47.0,329.0,2731.3,487.4,2184.6,59.4,"prescott,AZ",16000US0457380,prescott,,0.00423728813559322,0.029661016949152543,Prescott,prescott,arizona,LAUCT045738000000003,8.108333333333333,39763.0,36836.0,,34.0,0.0,23.0,321.0,321.0,110.0,214.0,252.0,2661.0,988.0,2947.0,888.0,4353.0,1119.0,432.0,345.0,43501.0,16000US0457380,prescott,prescott,0.1813520563366751,-0.7966101694915254,1.1746204242232996,,,-0.8050847457627118,2.994344952558949,,10.590692110640395,,0.157156150189875
Tucson Police Dept,AZ,12,531535.0,3851.0,43,234.0,1260,2314,,5021,,2499.0,724.5,8.1,44.0,237.0,435.3,,944.6,,470.1,"tucson,AZ",16000US0477000,tucson,0.12822299651567945,0.045993031358885016,0.10174216027874564,Tucson,tucson,arizona,LAUCT047700000000003,7.550000000000002,522770.0,395356.0,26053.0,2498.0,1227.0,3464.0,3597.0,2962.0,3540.0,5677.0,3263.0,38747.0,10806.0,31820.0,12559.0,23714.0,9955.0,2747.0,2808.0,36050.0,16000US0477000,tucson,tucson,0.5325660608123761,-0.37560975609756103,1.8889213715827105,198.13743961353367,102.43643512517971,0.25923344947735194,6.030695838708817,0.0498364481511946,13.166896875765136,198.13743961353367,0.07503108441570863
Yuma Police Dept,AZ,12,95568.0,508.0,5,27.0,61,415,3353.0,955,2162.0,236.0,531.6,5.2,28.3,63.8,434.2,3508.5,999.3,2262.3,246.9,"yuma,AZ",16000US0485540,yuma,0.024439918533604887,0.00814663951120163,0.054989816700611,Yuma,yuma,arizona,LAUCT048554000000003,16.833333333333332,95130.0,65231.0,2919.0,485.0,356.0,1216.0,778.0,1056.0,572.0,640.0,635.0,7119.0,3285.0,4343.0,2039.0,2858.0,1125.0,164.0,253.0,43147.0,16000US0485540,yuma,yuma,0.29704055892216114,-0.6761710794297352,1.3668907079232018,214.58333333333331,62.95390730087904,-0.8105906313645621,2.0973184671106764,0.03068432671081678,11.462999656200502,214.58333333333331,0.04625249658362241
Fayetteville Police Dept,AR,12,75387.0,388.0,1,58.0,40,289,3043.0,504,2406.0,133.0,514.7,1.3,76.9,53.1,383.4,4036.5,668.6,3191.5,176.4,"fayetteville,AR",16000US0523290,fayetteville,0.042682926829268296,0.00975609756097561,0.06829268292682927,Fayetteville,fayetteville,arkansas,LAUCT052329000000003,5.691666666666666,75473.0,63082.0,4763.0,96.0,53.0,225.0,368.0,505.0,122.0,422.0,242.0,3690.0,1008.0,4112.0,1153.0,5160.0,2271.0,1006.0,802.0,36262.0,16000US0523290,fayetteville,fayetteville,0.34066580104907435,-0.5774390243902439,1.582425080524059,215.46428571431431,96.06731726652737,-0.7878048780487805,2.145807750487419,0.06310866137559128,11.231530255383264,215.46428571431431,0.1224146383474885
Jonesboro Police Dept,AR,12,68807.0,295.0,4,21.0,78,192,3157.0,1166,1889.0,102.0,428.7,5.8,30.5,113.4,279.0,4588.2,1694.6,2745.4,148.2,"jonesboro,AR",16000US0535710,jonesboro,0.006711409395973154,0.013422818791946308,0.03355704697986577,Jonesboro,jonesboro,arkansas,LAUCT053571000000003,6.775,68844.0,53363.0,12984.0,169.0,11.0,171.0,159.0,408.0,558.0,551.0,262.0,6069.0,1046.0,3233.0,1023.0,3456.0,902.0,578.0,550.0,39267.0,16000US0535710,jonesboro,jonesboro,0.2667988283440837,-0.8053691275167785,1.0584141135097724,225.0,35.355339059327385,-0.6912751677852349,2.6588251598074395,0.18860031375283248,11.139598354389872,225.0,0.07968740921503689
Little Rock Police Dept,AR,12,196055.0,2579.0,45,137.0,807,1590,15804.0,4244,10465.0,1095.0,1315.4,23.0,69.9,411.6,811.0,8061.0,2164.7,5337.8,558.5,"little rock,AR",16000US0541000,littlerock,0.07515991471215352,0.0314498933901919,0.10181236673773987,Little Rock,littlerock,arkansas,LAUCT054100000000003,6.9,195242.0,100428.0,84399.0,398.0,293.0,451.0,774.0,647.0,1116.0,1289.0,973.0,14077.0,2623.0,9296.0,2940.0,15116.0,4506.0,2946.0,1603.0,45267.0,16000US0541000,littlerock,littlerock,0.491803174525488,-0.34328358208955223,1.9837910337713602,196.51262626261,83.52300495023697,-0.048507462686567165,5.462506668598,0.4322789153973018,12.181995093751116,196.51262626261,0.12380020692269081
Bakersfield Police Dept,CA,12,355696.0,1929.0,34,57.0,697,1141,17754.0,4994,9540.0,3220.0,542.3,9.6,16.0,196.0,320.8,4991.3,1404.0,2682.1,905.3,"bakersfield,CA",16000US0603526,bakersfield,0.11151339608979,0.10789283128167994,0.1549601737871108,Bakersfield,bakersfield,california,LAUCT060352600000003,8.183333333333332,353780.0,234162.0,29220.0,2431.0,1911.0,3827.0,2068.0,2036.0,2058.0,3315.0,3717.0,25324.0,7294.0,18042.0,6510.0,13110.0,4269.0,1832.0,1034.0,54422.0,16000US0603526,bakersfield,bakersfield,0.6502243596073755,-0.10644460535843593,2.1432997455522367,173.20279323852597,78.08984921743924,1.5785662563359883,7.461627710346923,0.08259370230086495,12.776430529997498,173.20279323852597,0.057224828989767655
